Gene ID,A1P3-7141-A1_a1p3,A1P3-7141-A10_a1p3,A1P3-7141-A11_a1p3,A1P3-7141-A12_a1p3,A1P3-7141-A2_a1p3,A1P3-7141-A3_a1p3,A1P3-7141-A4_a1p3,A1P3-7141-A5_a1p3,A1P3-7141-A6_a1p3,A1P3-7141-A7_a1p3,A1P3-7141-A8_a1p3,A1P3-7141-A9_a1p3,A1P3-7141-B1_a1p3,A1P3-7141-B10_a1p3,A1P3-7141-B11_a1p3,A1P3-7141-B12_a1p3,A1P3-7141-B2_a1p3,A1P3-7141-B3_a1p3,A1P3-7141-B4_a1p3,A1P3-7141-B5_a1p3,A1P3-7141-B6_a1p3,A1P3-7141-B7_a1p3,A1P3-7141-B8_a1p3,A1P3-7141-B9_a1p3,A1P3-7141-C1_a1p3,A1P3-7141-C10_a1p3,A1P3-7141-C11_a1p3,A1P3-7141-C12_a1p3,A1P3-7141-C2_a1p3,A1P3-7141-C3_a1p3,A1P3-7141-C4_a1p3,A1P3-7141-C5_a1p3,A1P3-7141-C6_a1p3,A1P3-7141-C7_a1p3,A1P3-7141-C8_a1p3,A1P3-7141-C9_a1p3,A1P3-7141-D1_a1p3,A1P3-7141-D10_a1p3,A1P3-7141-D11_a1p3,A1P3-7141-D12_a1p3,A1P3-7141-D2_a1p3,A1P3-7141-D3_a1p3,A1P3-7141-D4_a1p3,A1P3-7141-D5_a1p3,A1P3-7141-D6_a1p3,A1P3-7141-D7_a1p3,A1P3-7141-D8_a1p3,A1P3-7141-D9_a1p3,A1P3-7141-E1_a1p3,A1P3-7141-E10_a1p3,A1P3-7141-E11_a1p3,A1P3-7141-E12_a1p3,A1P3-7141-E2_a1p3,A1P3-7141-E3_a1p3,A1P3-7141-E4_a1p3,A1P3-7141-E5_a1p3,A1P3-7141-E6_a1p3,A1P3-7141-E7_a1p3,A1P3-7141-E8_a1p3,A1P3-7141-E9_a1p3,A1P3-7141-F1_a1p3,A1P3-7141-F10_a1p3,A1P3-7141-F2_a1p3,A1P3-7141-F3_a1p3,A1P3-7141-F4_a1p3,A1P3-7141-F5_a1p3,A1P3-7141-F6_a1p3,A1P3-7141-F7_a1p3,A1P3-7141-F8_a1p3,A1P3-7141-F9_a1p3,A1P3MEP-F11_a1p3,A1P3MEP-F12_a1p3,A1P3MEPG1_a1p3,A1P3MEPG2_a1p3,A1P3MEPG3_a1p3,A1P3MEPG4_a1p3,A1P3MEPG5_a1p3,A1P3MEPG6_a1p3,A2P3-7141-A1_a2p3,A2P3-7141-A10_a2p3,A2P3-7141-A11_a2p3,A2P3-7141-A12_a2p3,A2P3-7141-A2_a2p3,A2P3-7141-A3_a2p3,A2P3-7141-A4_a2p3,A2P3-7141-A5_a2p3,A2P3-7141-A6_a2p3,A2P3-7141-A7_a2p3,A2P3-7141-A8_a2p3,A2P3-7141-A9_a2p3,A2P3-7141-B1_a2p3,A2P3-7141-B10_a2p3,A2P3-7141-B11_a2p3,A2P3-7141-B12_a2p3,A2P3-7141-B2_a2p3,A2P3-7141-B3_a2p3,A2P3-7141-B4_a2p3,A2P3-7141-B5_a2p3,A2P3-7141-B6_a2p3,A2P3-7141-B7_a2p3,A2P3-7141-B8_a2p3,A2P3-7141-B9_a2p3,A2P3-7141-C1_a2p3,A2P3-7141-C10_a2p3,A2P3-7141-C11_a2p3,A2P3-7141-C12_a2p3,A2P3-7141-C2_a2p3,A2P3-7141-C3_a2p3,A2P3-7141-C4_a2p3,A2P3-7141-C5_a2p3,A2P3-7141-C6_a2p3,A2P3-7141-C7_a2p3,A2P3-7141-C8_a2p3,A2P3-7141-C9_a2p3,A2P3-7141-D1_a2p3,A2P3-7141-D10_a2p3,A2P3-7141-D11_a2p3,A2P3-7141-D12_a2p3,A2P3-7141-D2_a2p3,A2P3-7141-D3_a2p3,A2P3-7141-D4_a2p3,A2P3-7141-D5_a2p3,A2P3-7141-D6_a2p3,A2P3-7141-D7_a2p3,A2P3-7141-D8_a2p3,A2P3-7141-D9_a2p3,A2P3-7141-E1_a2p3,A2P3-7141-E10_a2p3,A2P3-7141-E11_a2p3,A2P3-7141-E12_a2p3,A2P3-7141-E2_a2p3,A2P3-7141-E3_a2p3,A2P3-7141-E4_a2p3,A2P3-7141-E5_a2p3,A2P3-7141-E6_a2p3,A2P3-7141-E7_a2p3,A2P3-7141-E8_a2p3,A2P3-7141-E9_a2p3,A2P3-7141-F1_a2p3,A2P3-7141-F10_a2p3,A2P3-7141-F2_a2p3,A2P3-7141-F3_a2p3,A2P3-7141-F4_a2p3,A2P3-7141-F5_a2p3,A2P3-7141-F6_a2p3,A2P3-7141-F7_a2p3,A2P3-7141-F8_a2p3,A2P3-7141-F9_a2p3,A2P3MEP-F11_a2p3,A2P3MEP-F12_a2p3,A2P3MEPG1_a2p3,A2P3MEPG2_a2p3,A2P3MEPG3_a2p3,A2P3MEPG4_a2p3,A2P3MEPG5_a2p3,A2P3MEPG6_a2p3,A3P3-7141-A1_a3p3,A3P3-7141-A10_a3p3,A3P3-7141-A11_a3p3,A3P3-7141-A12_a3p3,A3P3-7141-A2_a3p3,A3P3-7141-A3_a3p3,A3P3-7141-A4_a3p3,A3P3-7141-A5_a3p3,A3P3-7141-A6_a3p3,A3P3-7141-A7_a3p3,A3P3-7141-A8_a3p3,A3P3-7141-A9_a3p3,A3P3-7141-B1_a3p3,A3P3-7141-B10_a3p3,A3P3-7141-B11_a3p3,A3P3-7141-B12_a3p3,A3P3-7141-B2_a3p3,A3P3-7141-B3_a3p3,A3P3-7141-B4_a3p3,A3P3-7141-B5_a3p3,A3P3-7141-B6_a3p3,A3P3-7141-B7_a3p3,A3P3-7141-B8_a3p3,A3P3-7141-B9_a3p3,A3P3-7141-C1_a3p3,A3P3-7141-C10_a3p3,A3P3-7141-C11_a3p3,A3P3-7141-C12_a3p3,A3P3-7141-C2_a3p3,A3P3-7141-C3_a3p3,A3P3-7141-C4_a3p3,A3P3-7141-C5_a3p3,A3P3-7141-C6_a3p3,A3P3-7141-C7_a3p3,A3P3-7141-C8_a3p3,A3P3-7141-C9_a3p3,A3P3-7141-D1_a3p3,A3P3-7141-D10_a3p3,A3P3-7141-D11_a3p3,A3P3-7141-D12_a3p3,A3P3-7141-D2_a3p3,A3P3-7141-D3_a3p3,A3P3-7141-D4_a3p3,A3P3-7141-D5_a3p3,A3P3-7141-D6_a3p3,A3P3-7141-D7_a3p3,A3P3-7141-D8_a3p3,A3P3-7141-D9_a3p3,A3P3-7141-E1_a3p3,A3P3-7141-E10_a3p3,A3P3-7141-E11_a3p3,A3P3-7141-E12_a3p3,A3P3-7141-E2_a3p3,A3P3-7141-E3_a3p3,A3P3-7141-E4_a3p3,A3P3-7141-E5_a3p3,A3P3-7141-E6_a3p3,A3P3-7141-E7_a3p3,A3P3-7141-E8_a3p3,A3P3-7141-E9_a3p3,A3P3-7141-F1_a3p3,A3P3-7141-F10_a3p3,A3P3-7141-F2_a3p3,A3P3-7141-F3_a3p3,A3P3-7141-F4_a3p3,A3P3-7141-F5_a3p3,A3P3-7141-F6_a3p3,A3P3-7141-F7_a3p3,A3P3-7141-F8_a3p3,A3P3-7141-F9_a3p3,A3P3MEP-F11_a3p3,A3P3MEP-F12_a3p3,A3P3MEPG1_a3p3,A3P3MEPG2_a3p3,A3P3MEPG3_a3p3,A3P3MEPG4_a3p3,A3P3MEPG5_a3p3,A3P3MEPG6_a3p3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.62856524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.99824417,NA,NA,NA,NA,NA,NA,16.84291034,NA,NA,NA,NA,16.99538294,NA,NA,NA,NA,NA,NA,NA,NA,16.07321251,NA,NA,NA,NA,NA,NA,15.58352364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.46067032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANK1,15.09433141,22.42601611,16.26238355,NA,12.47856694,16.12898223,14.21531621,17.22799195,15.01708365,14.8441177,17.93470297,13.96753112,11.74916402,15.03802871,NA,14.65465289,11.2029583,15.26493022,15.99442174,NA,15.33183438,12.11166634,15.43343117,12.93142013,13.59472781,NA,14.79075808,15.35510946,14.41530834,14.24781076,13.07433071,NA,16.1751147,14.08804222,14.49861607,NA,14.58167572,12.96934543,13.35727253,10.88884097,14.65061222,14.85477719,NA,NA,12.49608373,14.55335463,11.61147401,12.66256205,12.04503924,NA,11.64716607,11.5453014,15.057863,11.52570592,NA,13.48634441,NA,12.51660301,14.79156434,14.53472804,12.60720233,NA,15.98009711,15.18868663,12.99112701,12.93231471,NA,10.87434905,13.84582179,NA,NA,NA,NA,NA,NA,NA,NA,12.32167096,14.17666693,18.56998496,NA,NA,NA,15.78836998,NA,12.59835553,15.28359848,15.14109156,NA,27.63144613,13.48978938,NA,13.86031476,13.66698274,15.41043536,15.08954889,16.87497978,14.77626024,14.6805324,14.31648775,13.04736397,17.21395044,13.67611398,12.68005699,NA,15.39411514,12.52128224,14.30365502,NA,15.04007302,13.20917383,14.43621834,12.28552491,14.71223979,14.40964074,15.08160437,14.74048303,NA,NA,15.3476015,14.00950563,NA,15.19541712,12.82419693,13.16888734,14.83997391,13.24740445,13.60511252,13.8717791,14.62093169,NA,15.4174571,NA,NA,NA,15.3398243,12.19228549,14.32509557,14.30261618,NA,13.53838212,NA,14.66189094,11.9124939,16.02327818,16.25237051,12.52101225,14.40103498,11.78541501,NA,13.94635127,NA,12.00515502,12.91830699,NA,12.84358221,13.18937741,12.96163412,18.92062875,19.50956486,NA,NA,14.0274919,17.09979927,17.01997467,12.75435496,13.70826661,22.26921596,13.78691617,13.5771168,NA,NA,15.88792272,13.65777746,13.89567493,13.75398448,13.53734431,11.63035351,14.65829177,16.30521703,14.66228709,14.83648454,14.88177278,14.40623418,15.21049245,14.36642002,16.48229275,16.6181553,14.91915515,16.40923613,14.43653323,14.13017184,15.06112636,16.01661776,NA,21.65463781,14.84301289,15.34864307,13.56746398,15.79858101,12.51760584,15.50980888,15.45883477,NA,12.36192588,NA,11.65720439,15.85499636,11.97480114,13.47063345,14.28546191,13.21276936,13.95639806,14.9939893,13.40331791,13.87666958,NA,21.54882286,13.99143794,15.61267695,13.30512485,13.07898145,14.6929268,14.38635627,15.55088616,15.83653347,NA,NA,12.73532054,12.08332956,NA,11.61947813,13.48204816,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2M,9.521889008,10.03925403,10.82880816,15.73644666,9.408218254,9.900804634,9.653055876,11.00447085,9.998453946,9.289247466,10.39432157,10.38169575,8.409689584,7.81632271,10.0312295,8.265082073,8.872918821,8.956251041,9.020297133,9.485547734,9.065242547,9.074788032,7.547680045,8.813990814,9.924223238,9.814846688,9.814272196,8.954486404,9.793943226,9.708484459,8.849905657,9.99066913,10.00145407,9.985511845,10.28065458,9.141466002,9.024549268,9.779559495,8.295462064,8.798784045,9.623754774,9.810839904,9.471231444,10.71211081,8.477789848,8.248240085,9.497279137,8.93782697,9.163898815,9.382783058,8.881549629,8.453493739,7.59806663,8.039186637,9.73477593,9.869740745,8.439718374,10.04652584,9.684183948,9.497653351,8.34494948,9.611402376,9.408917911,9.272335623,8.851495764,9.151404475,NA,7.558650036,8.796880402,9.381811478,10.27294241,10.53783745,10.70164545,10.20628972,9.200563761,8.972225881,9.92054249,9.483295209,8.416441819,13.67213088,17.52544016,19.13507888,13.33512719,10.74598079,10.08736786,10.6060283,10.0235311,10.33299795,17.80625528,21.1936762,9.950854331,10.65387215,10.73259417,9.881222019,8.367517183,9.472340739,9.43448325,9.41658444,9.910788155,8.825877653,9.36856237,14.96865468,10.47882817,8.801107649,NA,9.854424199,9.3233443,9.541316559,9.937377726,8.973195432,9.857832516,10.15724052,9.886500308,9.050184599,8.880837571,9.399629046,8.993680305,10.91991599,10.51313958,10.7406644,9.504634242,10.35292202,9.402699385,10.46505474,10.03436677,8.864273837,10.07379296,9.414661772,10.07693952,11.01188142,10.76621223,9.871063622,8.745319773,10.02501853,11.33027751,8.858879852,8.94044592,8.754885512,9.256187914,9.937261056,11.24413113,7.86022199,10.58537441,8.955482295,8.599113798,10.22567376,8.32413737,8.421765965,10.14232635,9.309897883,10.1206456,8.683242148,9.28376725,8.482191688,8.456822613,8.944555176,9.609409082,10.04132471,17.2282882,14.66126267,10.43660675,10.38192332,11.80464565,12.6428589,10.62129054,9.248443913,10.19372036,18.31174715,10.77802226,9.887479713,10.77282695,10.37000153,9.502139633,7.36525141,9.579551266,8.91887827,8.925264293,8.239184784,11.31511117,12.84609412,10.58422644,11.28020433,9.97095979,11.95421877,10.24254098,11.76426339,10.12178537,11.47006102,11.10567955,10.30323548,10.12096685,9.984933089,9.90846348,10.75877099,9.880960092,10.95701158,10.20206906,8.954942559,9.618754898,10.62834531,10.30586987,9.777229164,9.423602058,10.5545514,10.01804567,9.826782968,9.840336079,12.38870924,8.981804009,9.66527382,9.720102713,10.62292047,10.81330676,10.80775647,9.171204594,10.89505652,10.54295818,10.92342524,10.4432363,9.639646579,9.821686165,11.7490686,9.970057297,11.0409739,10.22539818,9.671658769,10.52850767,10.09221711,9.296825376,9.805433212,9.719581578,8.173017214,9.856934381,9.932322625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDH1,17.34175014,NA,NA,NA,17.33557251,17.35353056,16.73417553,NA,17.16130483,NA,NA,17.34855667,NA,22.90160476,NA,NA,NA,17.59739218,NA,NA,23.21361647,NA,NA,16.36100443,NA,NA,NA,NA,NA,NA,16.53970294,NA,17.60715826,18.14535485,17.64951003,NA,16.75091103,NA,16.90361939,15.86262712,NA,24.13654202,17.02528488,NA,17.73997743,NA,NA,16.91076688,NA,NA,NA,16.69278247,16.63953813,16.69393032,NA,17.12714297,NA,NA,NA,19.00496397,NA,NA,NA,NA,NA,NA,NA,17.08235287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.98310518,NA,26.27556633,NA,NA,NA,15.78027074,NA,NA,NA,NA,NA,15.3169812,16.6467223,NA,NA,NA,NA,NA,NA,15.35854716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.28953213,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.52170393,NA,NA,NA,NA,NA,16.86854558,NA,16.1297266,NA,NA,NA,NA,15.03026612,NA,NA,14.91017699,NA,19.86850938,15.16627947,NA,NA,NA,NA,NA,NA,NA,15.34671699,15.66732199,15.67392153,NA,NA,NA,16.48096801,NA,NA,NA,NA,NA,NA,NA,NA,17.91017315,17.86016881,NA,NA,14.69371363,NA,17.30333539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.44806088,NA,NA,17.71881031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.95169759,NA,NA,NA,17.19916863,NA,NA,NA,NA,NA,16.68421497,NA,NA,NA,19.99493646,16.99077912,15.41587412,17.82091913,NA,NA,NA,17.48987359,18.03800436,NA,16.18479773,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIM/BCL2,18.7044105,21.35399155,19.14262154,19.07083924,NA,NA,NA,NA,NA,NA,20.83533626,NA,NA,NA,NA,19.72535727,19.6603204,NA,NA,NA,NA,NA,NA,NA,NA,20.16466271,NA,NA,NA,NA,19.54975738,NA,NA,20.64667209,NA,NA,19.89624865,23.02143327,NA,19.6093193,NA,NA,NA,NA,NA,NA,19.97249565,18.64493942,19.09235007,23.70125683,17.9838468,17.81885616,NA,18.70735223,NA,NA,NA,NA,NA,20.00647145,19.47634362,NA,20.32166788,19.81463618,19.52270656,NA,NA,19.73428717,NA,17.86316689,NA,NA,19.86917052,NA,NA,19.41229898,20.2059082,NA,NA,NA,24.56918274,NA,NA,18.52206327,18.27660266,NA,NA,NA,NA,NA,NA,NA,19.56277552,NA,16.17065435,NA,NA,NA,22.20548928,18.1322351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.64089771,NA,18.83129555,17.28849323,NA,NA,NA,NA,NA,18.86412417,NA,18.38580876,NA,18.31588643,NA,NA,NA,NA,19.9142877,NA,NA,NA,NA,18.31654056,17.52640638,17.85652535,NA,NA,NA,NA,NA,NA,NA,17.17929511,19.31149537,NA,NA,18.83399741,NA,NA,NA,18.22412628,17.55511582,NA,19.52211705,NA,NA,NA,NA,18.96678826,NA,NA,NA,NA,18.53696546,17.27826114,26.29453362,18.75970365,18.40876465,NA,NA,NA,19.258574,NA,18.23736844,18.16212068,18.84077497,NA,NA,NA,NA,19.7590902,NA,19.87921505,NA,NA,NA,NA,18.97892495,NA,NA,NA,NA,NA,NA,NA,NA,19.01625821,NA,17.3903289,NA,NA,NA,NA,19.46969576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.97072306,NA,19.68309039,NA,NA,19.53418725,NA,NA,NA,18.64141219,NA
