,Gene ID,A1P3-7141-A1_a1p3,A1P3-7141-A10_a1p3,A1P3-7141-A11_a1p3,A1P3-7141-A12_a1p3,A1P3-7141-A2_a1p3,A1P3-7141-A3_a1p3,A1P3-7141-A4_a1p3,A1P3-7141-A5_a1p3,A1P3-7141-A6_a1p3,A1P3-7141-A7_a1p3,A1P3-7141-A8_a1p3,A1P3-7141-A9_a1p3,A1P3-7141-B1_a1p3,A1P3-7141-B10_a1p3,A1P3-7141-B11_a1p3,A1P3-7141-B12_a1p3,A1P3-7141-B2_a1p3,A1P3-7141-B3_a1p3,A1P3-7141-B4_a1p3,A1P3-7141-B5_a1p3,A1P3-7141-B6_a1p3,A1P3-7141-B7_a1p3,A1P3-7141-B8_a1p3,A1P3-7141-B9_a1p3,A1P3-7141-C1_a1p3,A1P3-7141-C10_a1p3,A1P3-7141-C11_a1p3,A1P3-7141-C12_a1p3,A1P3-7141-C2_a1p3,A1P3-7141-C3_a1p3,A1P3-7141-C4_a1p3,A1P3-7141-C5_a1p3,A1P3-7141-C6_a1p3,A1P3-7141-C7_a1p3,A1P3-7141-C8_a1p3,A1P3-7141-C9_a1p3,A1P3-7141-D1_a1p3,A1P3-7141-D10_a1p3,A1P3-7141-D11_a1p3,A1P3-7141-D12_a1p3,A1P3-7141-D2_a1p3,A1P3-7141-D3_a1p3,A1P3-7141-D4_a1p3,A1P3-7141-D5_a1p3,A1P3-7141-D6_a1p3,A1P3-7141-D7_a1p3,A1P3-7141-D8_a1p3,A1P3-7141-D9_a1p3,A1P3-7141-E1_a1p3,A1P3-7141-E10_a1p3,A1P3-7141-E11_a1p3,A1P3-7141-E12_a1p3,A1P3-7141-E2_a1p3,A1P3-7141-E3_a1p3,A1P3-7141-E4_a1p3,A1P3-7141-E5_a1p3,A1P3-7141-E6_a1p3,A1P3-7141-E7_a1p3,A1P3-7141-E8_a1p3,A1P3-7141-E9_a1p3,A1P3-7141-F1_a1p3,A1P3-7141-F10_a1p3,A1P3-7141-F2_a1p3,A1P3-7141-F3_a1p3,A1P3-7141-F4_a1p3,A1P3-7141-F5_a1p3,A1P3-7141-F6_a1p3,A1P3-7141-F7_a1p3,A1P3-7141-F8_a1p3,A1P3-7141-F9_a1p3,A1P3MEP-F11_a1p3,A1P3MEP-F12_a1p3,A1P3MEPG1_a1p3,A1P3MEPG2_a1p3,A1P3MEPG3_a1p3,A1P3MEPG4_a1p3,A1P3MEPG5_a1p3,A1P3MEPG6_a1p3,A2P3-7141-A1_a2p3,A2P3-7141-A10_a2p3,A2P3-7141-A11_a2p3,A2P3-7141-A12_a2p3,A2P3-7141-A2_a2p3,A2P3-7141-A3_a2p3,A2P3-7141-A4_a2p3,A2P3-7141-A5_a2p3,A2P3-7141-A6_a2p3,A2P3-7141-A7_a2p3,A2P3-7141-A8_a2p3,A2P3-7141-A9_a2p3,A2P3-7141-B1_a2p3,A2P3-7141-B10_a2p3,A2P3-7141-B11_a2p3,A2P3-7141-B12_a2p3,A2P3-7141-B2_a2p3,A2P3-7141-B3_a2p3,A2P3-7141-B4_a2p3,A2P3-7141-B5_a2p3,A2P3-7141-B6_a2p3,A2P3-7141-B7_a2p3,A2P3-7141-B8_a2p3,A2P3-7141-B9_a2p3,A2P3-7141-C1_a2p3,A2P3-7141-C10_a2p3,A2P3-7141-C11_a2p3,A2P3-7141-C12_a2p3,A2P3-7141-C2_a2p3,A2P3-7141-C3_a2p3,A2P3-7141-C4_a2p3,A2P3-7141-C5_a2p3,A2P3-7141-C6_a2p3,A2P3-7141-C7_a2p3,A2P3-7141-C8_a2p3,A2P3-7141-C9_a2p3,A2P3-7141-D1_a2p3,A2P3-7141-D10_a2p3,A2P3-7141-D11_a2p3,A2P3-7141-D12_a2p3,A2P3-7141-D2_a2p3,A2P3-7141-D3_a2p3,A2P3-7141-D4_a2p3,A2P3-7141-D5_a2p3,A2P3-7141-D6_a2p3,A2P3-7141-D7_a2p3,A2P3-7141-D8_a2p3,A2P3-7141-D9_a2p3,A2P3-7141-E1_a2p3,A2P3-7141-E10_a2p3,A2P3-7141-E11_a2p3,A2P3-7141-E12_a2p3,A2P3-7141-E2_a2p3,A2P3-7141-E3_a2p3,A2P3-7141-E4_a2p3,A2P3-7141-E5_a2p3,A2P3-7141-E6_a2p3,A2P3-7141-E7_a2p3,A2P3-7141-E8_a2p3,A2P3-7141-E9_a2p3,A2P3-7141-F1_a2p3,A2P3-7141-F10_a2p3,A2P3-7141-F2_a2p3,A2P3-7141-F3_a2p3,A2P3-7141-F4_a2p3,A2P3-7141-F5_a2p3,A2P3-7141-F6_a2p3,A2P3-7141-F7_a2p3,A2P3-7141-F8_a2p3,A2P3-7141-F9_a2p3,A2P3MEP-F11_a2p3,A2P3MEP-F12_a2p3,A2P3MEPG1_a2p3,A2P3MEPG2_a2p3,A2P3MEPG3_a2p3,A2P3MEPG4_a2p3,A2P3MEPG5_a2p3,A2P3MEPG6_a2p3,A3P3-7141-A1_a3p3,A3P3-7141-A10_a3p3,A3P3-7141-A11_a3p3,A3P3-7141-A12_a3p3,A3P3-7141-A2_a3p3,A3P3-7141-A3_a3p3,A3P3-7141-A4_a3p3,A3P3-7141-A5_a3p3,A3P3-7141-A6_a3p3,A3P3-7141-A7_a3p3,A3P3-7141-A8_a3p3,A3P3-7141-A9_a3p3,A3P3-7141-B1_a3p3,A3P3-7141-B10_a3p3,A3P3-7141-B11_a3p3,A3P3-7141-B12_a3p3,A3P3-7141-B2_a3p3,A3P3-7141-B3_a3p3,A3P3-7141-B4_a3p3,A3P3-7141-B5_a3p3,A3P3-7141-B6_a3p3,A3P3-7141-B7_a3p3,A3P3-7141-B8_a3p3,A3P3-7141-B9_a3p3,A3P3-7141-C1_a3p3,A3P3-7141-C10_a3p3,A3P3-7141-C11_a3p3,A3P3-7141-C12_a3p3,A3P3-7141-C2_a3p3,A3P3-7141-C3_a3p3,A3P3-7141-C4_a3p3,A3P3-7141-C5_a3p3,A3P3-7141-C6_a3p3,A3P3-7141-C7_a3p3,A3P3-7141-C8_a3p3,A3P3-7141-C9_a3p3,A3P3-7141-D1_a3p3,A3P3-7141-D10_a3p3,A3P3-7141-D11_a3p3,A3P3-7141-D12_a3p3,A3P3-7141-D2_a3p3,A3P3-7141-D3_a3p3,A3P3-7141-D4_a3p3,A3P3-7141-D5_a3p3,A3P3-7141-D6_a3p3,A3P3-7141-D7_a3p3,A3P3-7141-D8_a3p3,A3P3-7141-D9_a3p3,A3P3-7141-E1_a3p3,A3P3-7141-E10_a3p3,A3P3-7141-E11_a3p3,A3P3-7141-E12_a3p3,A3P3-7141-E2_a3p3,A3P3-7141-E3_a3p3,A3P3-7141-E4_a3p3,A3P3-7141-E5_a3p3,A3P3-7141-E6_a3p3,A3P3-7141-E7_a3p3,A3P3-7141-E8_a3p3,A3P3-7141-E9_a3p3,A3P3-7141-F1_a3p3,A3P3-7141-F10_a3p3,A3P3-7141-F2_a3p3,A3P3-7141-F3_a3p3,A3P3-7141-F4_a3p3,A3P3-7141-F5_a3p3,A3P3-7141-F6_a3p3,A3P3-7141-F7_a3p3,A3P3-7141-F8_a3p3,A3P3-7141-F9_a3p3,A3P3MEP-F11_a3p3,A3P3MEP-F12_a3p3,A3P3MEPG1_a3p3,A3P3MEPG2_a3p3,A3P3MEPG3_a3p3,A3P3MEPG4_a3p3,A3P3MEPG5_a3p3,A3P3MEPG6_a3p3
1,ADD2,,,,,,,,,,,,,,,,,15.62856524,,,,,,,,,,,,,,,,,,,,,,,16.99824417,,,,,,,16.84291034,,,,,16.99538294,,,,,,,,,16.07321251,,,,,,,15.58352364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.46067032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ANK1,15.09433141,22.42601611,16.26238355,,12.47856694,16.12898223,14.21531621,17.22799195,15.01708365,14.8441177,17.93470297,13.96753112,11.74916402,15.03802871,,14.65465289,11.2029583,15.26493022,15.99442174,,15.33183438,12.11166634,15.43343117,12.93142013,13.59472781,,14.79075808,15.35510946,14.41530834,14.24781076,13.07433071,,16.175114699999998,14.08804222,14.49861607,,14.58167572,12.96934543,13.35727253,10.88884097,14.65061222,14.85477719,,,12.49608373,14.55335463,11.61147401,12.66256205,12.04503924,,11.64716607,11.545301400000001,15.057863000000001,11.52570592,,13.48634441,,12.51660301,14.79156434,14.53472804,12.60720233,,15.98009711,15.18868663,12.99112701,12.93231471,,10.87434905,13.84582179,,,,,,,,,12.32167096,14.17666693,18.56998496,,,,15.78836998,,12.59835553,15.28359848,15.14109156,,27.63144613,13.48978938,,13.86031476,13.66698274,15.41043536,15.08954889,16.87497978,14.77626024,14.680532399999999,14.31648775,13.04736397,17.21395044,13.67611398,12.68005699,,15.39411514,12.52128224,14.30365502,,15.04007302,13.20917383,14.43621834,12.28552491,14.71223979,14.40964074,15.08160437,14.74048303,,,15.347601500000001,14.00950563,,15.19541712,12.82419693,13.16888734,14.83997391,13.24740445,13.60511252,13.8717791,14.62093169,,15.4174571,,,,15.339824300000002,12.19228549,14.32509557,14.30261618,,13.53838212,,14.66189094,11.9124939,16.02327818,16.25237051,12.52101225,14.40103498,11.78541501,,13.94635127,,12.00515502,12.91830699,,12.84358221,13.18937741,12.96163412,18.92062875,19.50956486,,,14.0274919,17.09979927,17.01997467,12.75435496,13.70826661,22.26921596,13.78691617,13.5771168,,,15.88792272,13.65777746,13.89567493,13.75398448,13.53734431,11.63035351,14.65829177,16.30521703,14.66228709,14.83648454,14.88177278,14.40623418,15.21049245,14.36642002,16.48229275,16.6181553,14.91915515,16.40923613,14.43653323,14.13017184,15.06112636,16.01661776,,21.65463781,14.84301289,15.34864307,13.56746398,15.79858101,12.51760584,15.50980888,15.45883477,,12.36192588,,11.65720439,15.85499636,11.97480114,13.47063345,14.28546191,13.21276936,13.95639806,14.9939893,13.40331791,13.87666958,,21.54882286,13.99143794,15.61267695,13.30512485,13.07898145,14.6929268,14.38635627,15.55088616,15.83653347,,,12.73532054,12.08332956,,11.61947813,13.48204816,
5,B2M,9.521889007999999,10.03925403,10.82880816,15.73644666,9.408218254,9.900804634,9.653055876,11.00447085,9.998453946,9.289247466,10.39432157,10.38169575,8.409689584,7.81632271,10.0312295,8.265082073,8.872918821,8.956251041,9.020297133,9.485547733999999,9.065242547,9.074788032,7.547680045,8.813990814,9.924223238,9.814846688,9.814272196000001,8.954486403999999,9.793943226,9.708484459,8.849905657,9.99066913,10.00145407,9.985511845,10.28065458,9.141466002,9.024549268,9.779559495,8.295462064,8.798784045,9.623754774,9.810839904,9.471231443999999,10.71211081,8.477789847999999,8.248240085,9.497279137,8.93782697,9.163898815,9.382783058,8.881549629,8.453493738999999,7.59806663,8.039186637,9.73477593,9.869740745,8.439718374,10.04652584,9.684183948,9.497653351,8.34494948,9.611402376000001,9.408917911,9.272335623,8.851495764,9.151404475,,7.558650036,8.796880402000001,9.381811478,10.27294241,10.53783745,10.70164545,10.20628972,9.200563761,8.972225881,9.92054249,9.483295209,8.416441819,13.67213088,17.52544016,19.13507888,13.33512719,10.74598079,10.08736786,10.6060283,10.0235311,10.33299795,17.80625528,21.1936762,9.950854331,10.65387215,10.73259417,9.881222018999999,8.367517183,9.472340739,9.43448325,9.41658444,9.910788155,8.825877653,9.36856237,14.96865468,10.47882817,8.801107649,,9.854424199,9.323344300000002,9.541316559,9.937377726,8.973195432,9.857832516,10.15724052,9.886500307999999,9.050184599,8.880837571,9.399629046,8.993680305,10.91991599,10.51313958,10.7406644,9.504634242,10.35292202,9.402699385,10.46505474,10.03436677,8.864273837,10.07379296,9.414661772,10.07693952,11.01188142,10.76621223,9.871063622000001,8.745319773,10.02501853,11.33027751,8.858879852000001,8.94044592,8.754885512000001,9.256187914,9.937261056,11.24413113,7.86022199,10.58537441,8.955482295,8.599113798,10.22567376,8.32413737,8.421765965,10.14232635,9.309897883,10.1206456,8.683242148,9.28376725,8.482191688,8.456822613,8.944555176,9.609409082,10.04132471,17.228288199999998,14.66126267,10.43660675,10.38192332,11.80464565,12.6428589,10.62129054,9.248443913,10.19372036,18.31174715,10.77802226,9.887479713,10.77282695,10.37000153,9.502139632999999,7.36525141,9.579551266000001,8.91887827,8.925264293,8.239184783999999,11.31511117,12.84609412,10.58422644,11.28020433,9.97095979,11.95421877,10.24254098,11.76426339,10.12178537,11.47006102,11.10567955,10.30323548,10.12096685,9.984933089,9.90846348,10.75877099,9.880960092,10.95701158,10.20206906,8.954942559,9.618754897999999,10.62834531,10.30586987,9.777229164,9.423602058,10.554551400000001,10.01804567,9.826782968,9.840336079,12.38870924,8.981804009,9.66527382,9.720102713,10.62292047,10.81330676,10.80775647,9.171204593999999,10.89505652,10.54295818,10.92342524,10.4432363,9.639646578999999,9.821686165,11.7490686,9.970057297,11.040973900000001,10.22539818,9.671658769,10.52850767,10.09221711,9.296825376000001,9.805433212,9.719581578,8.173017214,9.856934381,9.932322625
7,BDH1,17.34175014,,,,17.33557251,17.35353056,16.73417553,,17.16130483,,,17.34855667,,22.90160476,,,,17.59739218,,,23.21361647,,,16.36100443,,,,,,,16.53970294,,17.60715826,18.14535485,17.64951003,,16.75091103,,16.90361939,15.86262712,,24.13654202,17.02528488,,17.73997743,,,16.91076688,,,,16.69278247,16.63953813,16.69393032,,17.12714297,,,,19.00496397,,,,,,,,17.08235287,,,,,,,,,,,,18.98310518,,26.27556633,,,,15.78027074,,,,,,15.3169812,16.6467223,,,,,,,15.35854716,,,,,,,,,,,,,,,,,,17.28953213,,,,,,,,,,14.52170393,,,,,,16.86854558,,16.1297266,,,,,15.03026612,,,14.91017699,,19.86850938,15.16627947,,,,,,,,15.34671699,15.66732199,15.67392153,,,,16.48096801,,,,,,,,,17.91017315,17.86016881,,,14.69371363,,17.30333539,,,,,,,,,,,,18.44806088,,,17.71881031,,,,,,,,,,,,,,16.95169759,,,,17.19916863,,,,,,16.68421497,,,,19.99493646,16.99077912,15.41587412,17.82091913,,,,17.48987359,18.03800436,,16.18479773,,,,,
9,BIM/BCL2,18.7044105,21.35399155,19.14262154,19.07083924,,,,,,,20.83533626,,,,,19.72535727,19.6603204,,,,,,,,,20.16466271,,,,,19.54975738,,,20.64667209,,,19.89624865,23.02143327,,19.6093193,,,,,,,19.97249565,18.64493942,19.09235007,23.70125683,17.9838468,17.81885616,,18.70735223,,,,,,20.00647145,19.47634362,,20.32166788,19.81463618,19.52270656,,,19.73428717,,17.86316689,,,19.86917052,,,19.41229898,20.2059082,,,,24.56918274,,,18.52206327,18.27660266,,,,,,,,19.56277552,,16.17065435,,,,22.20548928,18.132235100000003,,,,,,,,,,,,18.64089771,,18.83129555,17.28849323,,,,,,18.86412417,,18.38580876,,18.31588643,,,,,19.9142877,,,,,18.31654056,17.52640638,17.85652535,,,,,,,,17.17929511,19.31149537,,,18.83399741,,,,18.22412628,17.55511582,,19.52211705,,,,,18.96678826,,,,,18.53696546,17.27826114,26.29453362,18.75970365,18.40876465,,,,19.258574,,18.23736844,18.16212068,18.84077497,,,,,19.7590902,,19.87921505,,,,,18.97892495,,,,,,,,,19.01625821,,17.3903289,,,,,19.46969576,,,,,,,,,,,,,,,,,,24.97072306,,19.68309039,,,19.53418725,,,,18.64141219,
11,BMP2,,,,,,19.37916459,,,,,,18.59879049,,,,,,,,,,,,,,,18.70396129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.13242697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CCDC124,,16.93087377,,,,,,16.44244556,,,,,18.27590875,,,14.97960585,15.62185307,,14.89884904,16.70837281,,15.05892809,,15.82863028,15.42358426,,16.14216082,,16.88040727,15.93716231,,,,,15.52910127,,,15.85050641,13.605205900000001,,,,14.88087209,,,15.422012300000002,16.17599653,,13.45262928,14.63096487,16.00028044,,15.16989556,14.386034200000001,,16.14789032,,,16.24845004,16.21403324,15.957125699999999,,,,,16.09103948,,14.0788104,,15.95233338,,,,,,,,,,19.72336729,,24.85382695,,,,,,,,,15.21018015,,,16.13032256,,16.0442433,16.14897601,15.73882237,,,,,,,16.23233085,15.21832444,,15.97813202,15.43542501,,15.24400221,,16.05883597,,,16.73400585,,,,,,,,,,,,,,,,,,16.34272331,,16.39932547,,27.24199892,,,,,,14.74320457,,,,15.2947169,,,,,15.8946999,,,,,,,,,,,,,,,21.77180071,,,15.74563084,,,,14.23192347,,15.38826655,15.78716113,,,,16.48289263,,,,16.62325795,,,,,,,,,,,,14.94072831,,,,16.359377300000002,,,15.55071641,,15.38264057,,,,,,,,,,,,,15.78648799,15.56356926,,15.74780945,,,,,,,,15.31536852,,,
15,CCND1/BCL1,,,,,,,24.96986926,,17.47075416,,,,,,,,,,16.9203091,,15.90029598,,,18.75353098,,,,,,,,,,,,,,18.70224328,16.72813481,,,,,18.09216104,,,,,15.10350571,,,,,,,,,17.83545073,,17.275513800000002,,,,16.70535757,,17.57113518,,,,,,,,,,,18.01845787,17.58566075,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.10636637,,,,,,,,,,,,,,,,,16.80988719,,,,,,,,,,,,,17.75828977,,,17.00580477,,,,,,,,,,,,,,,,17.4227718,,,,,,,,,,,,17.699156100000003,,,,,,16.94498544,,,,,,,,,,,,,17.80956918,,,,,,,16.74503593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24124752,,,,18.46035622,,,,,,,
17,CD105/ENG,15.16662882,16.91818777,,17.25435036,15.92479744,17.83799567,,17.31969298,,16.85047408,16.71770161,16.82602279,15.61519068,16.6701607,16.11084561,,12.93013247,17.33268174,16.90793369,16.63478711,15.82976166,15.34343511,,13.69620409,13.78382188,16.45208162,,14.75109544,17.37755324,16.13760974,,,,18.5922066,15.03124629,,15.94376482,17.0306766,14.34725677,14.10093227,14.77749565,,,15.92794617,15.15676598,13.39143889,,13.49106754,12.61270995,15.93423779,16.334955100000002,14.92667755,14.87155715,13.4905264,14.84172889,16.45680249,,16.79311196,,16.67873307,,16.53534709,,16.28791703,24.73311014,15.40963721,,12.60794131,16.47702911,16.70313044,16.5503809,19.30276527,16.59777354,,14.658632500000001,16.26515214,16.96332535,25.64039047,,18.082422100000002,21.14608733,,18.93102603,15.11037175,15.65522766,,15.35949178,14.81227291,,,14.62834338,,16.52428527,24.19877112,,,16.732053699999998,,,16.08742054,,17.82860066,16.59263228,,,,17.21052589,21.78622675,,,14.73013021,16.60478524,16.53470235,27.35166363,15.06486403,17.01425654,,,16.61817332,16.48118617,16.30413455,,,14.08413162,21.98882922,,,,16.46475547,,16.22010791,,,15.88266293,,16.47908772,14.15327197,14.70693398,16.68821972,15.10655712,,,16.77275298,14.13510453,14.97134381,17.50782429,,15.40506759,15.58666283,,14.29045714,14.67654926,14.78209079,,15.06234457,14.93469748,14.42268065,14.23278334,,,15.78704462,15.53210733,15.96913522,16.45924575,,15.18783483,25.84042037,21.3019336,20.59552705,15.44451391,,,,,14.59992301,,,13.63475526,,,14.67359503,17.62949582,14.45365816,16.13272691,17.35552592,16.43090624,,,,16.05649894,,15.92198084,,,15.65158555,,14.80773514,14.34295055,,,16.25893432,13.93434172,,15.99397646,18.13379491,15.01397382,15.69290674,,13.62682485,14.90068396,14.63340363,,,15.91167948,14.39605672,16.25217491,16.51788374,,14.58912012,14.84556606,15.13674425,,14.69181879,,16.29215926,17.68215085,17.08510412,16.40541933,14.57458008,13.89894417,14.90514873,,,
19,CD110/MPL,16.64053835,18.00373321,,,16.23589616,16.29228006,16.91964169,,,17.02265629,16.96033392,15.50821208,,15.5983775,16.93147609,14.85033406,,15.87504257,18.68290941,15.13386655,17.68589311,,16.44011955,16.19570595,16.4131527,16.13982577,18.82519725,15.53720577,16.36458708,15.28747925,,,16.47531393,16.75945256,18.21688207,15.81110587,17.01458231,15.82258856,15.30531205,,15.77776976,14.16126605,16.22104438,16.89378761,17.88280509,15.85125008,,,13.79541741,,,,15.60716165,,,18.07057997,14.35197127,,17.80697407,16.17061372,,17.15014133,15.25876619,14.87218659,18.61454575,16.87013217,,17.08564088,16.17887217,16.4189343,17.65719493,16.882831399999997,17.51292531,17.76845628,16.93614539,,16.94092715,14.70340293,14.13113504,20.15708533,23.75834744,24.84435394,21.11283088,18.8020457,16.65352708,15.74376485,17.97706739,17.26413654,22.66020276,,16.09755611,16.52162372,17.89365544,16.22361894,,16.43295103,15.34439101,16.94668935,15.6792349,14.36333123,16.87461393,21.92055657,,17.84479191,,16.64130779,15.15475351,,16.73526979,14.98671753,16.11498261,15.96640184,16.5903231,,,17.45348058,15.73435339,,,16.49047363,,18.81649293,,14.78167386,15.50381158,,,16.40111886,17.57371382,17.97007766,16.945782100000002,,17.25965137,16.57464858,14.90798768,16.70821398,17.00854542,18.7936522,18.10132318,16.99443547,,,15.45481667,16.9987158,14.96865452,16.09520049,15.77409865,15.55390919,,17.55030425,,,,,17.46596126,,13.30217197,,24.55397464,22.56586116,16.48709979,16.3295399,15.64320925,16.78945112,17.00601624,,16.63306617,23.77850773,15.0148941,17.32604078,17.50993238,17.50968313,16.25220463,16.0406152,15.3572518,17.7690563,15.86640696,,,18.77148318,17.65706397,15.82064705,,17.6262826,16.72066792,17.00649797,16.33137016,16.85758051,17.08750598,18.623612899999998,15.173342199999999,,14.458440300000001,15.66118945,16.01128069,,16.56867139,14.52414007,,15.79380469,,17.65574995,15.90782963,17.85132263,,15.92725117,,16.83708546,18.69357991,,17.24557848,,15.31480309,18.43071099,16.203318300000003,17.47312107,19.13306053,15.72770065,18.56550699,15.64734464,17.50229585,18.21357887,16.47252387,16.50404404,,15.16813714,19.82125595,17.38856754,,,17.03366572,,,18.72985229
