"Gene_1","Gene_2","MI"
"ADD2","ANK1",0.17443746941034632
"ADD2","B2M",0.11419509784714821
"ADD2","BDH1",0.028497243913164994
"ADD2","BIM/BCL2",0.06892518713797702
"ADD2","BMP2",0.00046756208178860836
"ADD2","CCDC124",0.05033838483851372
"ADD2","CCND1/BCL1",0.012246616350543027
"ADD2","CD105/ENG",0.11557310038013568
"ADD2","CD110/MPL",0.06619406978978448
"ADD2","CD117/KIT",0.14787932197058362
"ADD2","CD123/IL3RA",0.01169901596982137
"ADD2","CD135/FLT3",0.008489809890527278
"ADD2","CD150/SLAMF1",0.0
"ADD2","CD235a/GYPA",0.028157807088599496
"ADD2","CD34",0.06683756832693266
"ADD2","CD36",0.1474703427127082
"ADD2","CD38",0.07656666918865529
"ADD2","CD41/ITGA2B",0.12790594715451364
"ADD2","CD42/GP1BA",0.06811960749690682
"ADD2","CD44",0.08421927546173746
"ADD2","CD47",0.08592340224690354
"ADD2","CD61/ITGB3",0.03491581548306444
"ADD2","CD71/TFRC",0.1357275779683258
"ADD2","CD9",0.033862699844347866
"ADD2","CD90/THY1",0.02633780916277706
"ADD2","CDK4",0.12023033991872145
"ADD2","CDK6",0.08132032567629555
"ADD2","CEBPA",0.0029481741888220947
"ADD2","CISH",0.012162768707029037
"ADD2","CLU",0.05697868997742006
"ADD2","CNRIP1",0.15625536707588106
"ADD2","CSF3R",0.004517521852522854
"ADD2","CTNNB1",0.08862768218459038
"ADD2","CXCR4",0.05955110651094131
"ADD2","DDB1",0.09935561832131912
"ADD2","DHRS3",0.14506774546471757
"ADD2","ECT2",0.02004962239387198
"ADD2","EIF4EBP1",0.10601240620837737
"ADD2","EPOR",0.06599395957370591
"ADD2","ETS1",0.05726572841182653
"ADD2","FAS",0.05856714122476259
"ADD2","FHL1",0.039860814045064696
"ADD2","FLI1",0.04641457463848275
"ADD2","FOG1/ZFPM1",0.05059238507766972
"ADD2","FOXO3",0.04209818510636021
"ADD2","GABPA",0.11398163238664472
"ADD2","GADD45A",0.00500227397865638
"ADD2","GADD45B",0.0044906987509623075
"ADD2","GAPDH",0.09574092789498101
"ADD2","GATA1",0.11271287023156606
"ADD2","GATA2",0.0712855588447927
"ADD2","GFI1B",0.07362390166459276
"ADD2","GPR64/ADGRG2",0.0
"ADD2","HIF1A",0.06789565068502057
"ADD2","HIF2A/EPAS1",0.011480415039548664
"ADD2","HPRT1",0.0948052412088396
"ADD2","JAK2",0.11358051006562375
"ADD2","KLF1",0.1497035243575109
"ADD2","LEF1",0.1188041378914726
"ADD2","LOX",0.053025047659430946
"ADD2","LSD1/KDM1A",0.11655675474769911
"ADD2","MCL1",0.09845556958276092
"ADD2","MEIS1",0.05470251144693483
"ADD2","MPO",0.0006554254414006255
"ADD2","MYB",0.13975332833127085
"ADD2","NFIB",0.014105289893861395
"ADD2","NOTCH1",0.012180634303393889
"ADD2","P27KIP1/CDKN1B",0.04921378201318749
"ADD2","PAX5",9.327405925707577e-5
"ADD2","PF4",0.009240303805123418
"ADD2","PFKP",0.016922894362621177
"ADD2","PIM1",0.057823328083705494
"ADD2","PNMT",0.03775081739641084
"ADD2","RGS18",0.06794819590024104
"ADD2","RUNX1",0.09377094708751299
"ADD2","SDPR",0.06818704899210948
"ADD2","SELP",0.045301125058465175
"ADD2","SH2D2A",0.02582152633604895
"ADD2","SOCS3",0.016589335997644783
"ADD2","SOX4",0.0
"ADD2","SPI1",0.05411549923124248
"ADD2","SRD5A3",0.10441976925003571
"ADD2","TAL1",0.11895022627464336
"ADD2","TGFB1",0.07992678024795863
"ADD2","TGFB2",0.0002801791047579161
"ADD2","TMEM180/MFSD13A",0.06720972652615975
"ADD2","TMOD1",0.17129245489210643
"ADD2","TUBB2A",0.09161952874678247
"ADD2","VWF",0.02369273654182935
"ANK1","B2M",0.37989806638931434
"ANK1","BDH1",0.1236138373099287
"ANK1","BIM/BCL2",0.1974534367544316
"ANK1","BMP2",0.013196864668939323
"ANK1","CCDC124",0.13857017499671453
"ANK1","CCND1/BCL1",0.06355576564365784
"ANK1","CD105/ENG",0.3216436125749924
"ANK1","CD110/MPL",0.2599760706060481
"ANK1","CD117/KIT",0.3511397040845212
"ANK1","CD123/IL3RA",0.10020247866099607
"ANK1","CD135/FLT3",0.07890516087118327
"ANK1","CD150/SLAMF1",-4.440892098500626e-16
"ANK1","CD235a/GYPA",0.12352733694871487
"ANK1","CD34",0.18229665698949926
"ANK1","CD36",0.5024934127935472
"ANK1","CD38",0.2410700078136081
"ANK1","CD41/ITGA2B",0.7868127040454524
"ANK1","CD42/GP1BA",0.29074901712374945
"ANK1","CD44",0.33835279663045537
"ANK1","CD47",0.10535933317695223
"ANK1","CD61/ITGB3",0.3076447389431438
"ANK1","CD71/TFRC",0.6482109422104685
"ANK1","CD9",0.18002882328072367
"ANK1","CD90/THY1",0.10185183558901878
"ANK1","CDK4",0.3301037425176574
"ANK1","CDK6",0.27259432200524625
"ANK1","CEBPA",0.04465488405587381
"ANK1","CISH",0.04816426741820967
"ANK1","CLU",0.157110740894562
"ANK1","CNRIP1",0.6096695739296658
"ANK1","CSF3R",0.06095090986482754
"ANK1","CTNNB1",0.2517173702445099
"ANK1","CXCR4",0.11443362319959949
"ANK1","DDB1",0.380449612498003
"ANK1","DHRS3",0.4991105581989901
"ANK1","ECT2",0.042760108883970194
"ANK1","EIF4EBP1",0.3600518044707117
"ANK1","EPOR",0.11449179352582961
"ANK1","ETS1",0.1574366320795999
"ANK1","FAS",0.10216874379118979
"ANK1","FHL1",0.13906134019160898
"ANK1","FLI1",0.14013020581022495
"ANK1","FOG1/ZFPM1",0.24345620843552407
"ANK1","FOXO3",0.08717298311197208
"ANK1","GABPA",0.2076814593145988
"ANK1","GADD45A",0.06815800003599426
"ANK1","GADD45B",0.013950449069350501
"ANK1","GAPDH",0.35426913423277373
"ANK1","GATA1",0.7506628340309538
"ANK1","GATA2",0.22326771442278304
"ANK1","GFI1B",0.2712940069429326
"ANK1","GPR64/ADGRG2",-4.440892098500626e-16
"ANK1","HIF1A",0.17654543585312332
"ANK1","HIF2A/EPAS1",0.07252603968086468
"ANK1","HPRT1",0.32791122527734373
"ANK1","JAK2",0.32144765697377853
"ANK1","KLF1",0.46188583195083854
"ANK1","LEF1",0.3380483378753385
"ANK1","LOX",0.17590636526212755
"ANK1","LSD1/KDM1A",0.4612062321713495
"ANK1","MCL1",0.29763884085245795
"ANK1","MEIS1",0.1814090655961218
"ANK1","MPO",0.008744504213312965
"ANK1","MYB",0.32515080075894076
"ANK1","NFIB",0.14299453124315642
"ANK1","NOTCH1",0.08426089446554874
"ANK1","P27KIP1/CDKN1B",0.12632469488611786
"ANK1","PAX5",0.0038142607110729365
"ANK1","PF4",0.05189941616556748
"ANK1","PFKP",0.05110732379423899
"ANK1","PIM1",0.14186534988065258
"ANK1","PNMT",0.05293752308452726
"ANK1","RGS18",0.1653968471920506
"ANK1","RUNX1",0.3212086457385688
"ANK1","SDPR",0.1884236707147
"ANK1","SELP",0.16496632052465454
"ANK1","SH2D2A",0.043033381478128074
"ANK1","SOCS3",0.0911415035117713
"ANK1","SOX4",-4.440892098500626e-16
"ANK1","SPI1",0.17416703641936593
"ANK1","SRD5A3",0.2634503993910444
"ANK1","TAL1",0.4645094258137137
"ANK1","TGFB1",0.38913240260003157
"ANK1","TGFB2",0.004576642543312914
"ANK1","TMEM180/MFSD13A",0.25220943493040515
"ANK1","TMOD1",0.3173978131122204
"ANK1","TUBB2A",0.15818238130576034
"ANK1","VWF",0.20643933184375918
"B2M","BDH1",0.19465850582600952
"B2M","BIM/BCL2",0.21569531836038447
"B2M","BMP2",0.008823650285508577
"B2M","CCDC124",0.21432144445730827
"B2M","CCND1/BCL1",0.07489244267156181
"B2M","CD105/ENG",0.43977429079033303
"B2M","CD110/MPL",0.4000632150734411
"B2M","CD117/KIT",0.4962084311650221
"B2M","CD123/IL3RA",0.1260452133281018
"B2M","CD135/FLT3",0.10811509414532461
"B2M","CD150/SLAMF1",0.0
"B2M","CD235a/GYPA",0.11315709597784274
"B2M","CD34",0.4953695805687355
"B2M","CD36",0.24265663170433172
"B2M","CD38",0.2571069942666737
"B2M","CD41/ITGA2B",0.4804634640758598
"B2M","CD42/GP1BA",0.41503817349827443
"B2M","CD44",0.3865089268414579
"B2M","CD47",0.1785070531105024
"B2M","CD61/ITGB3",0.22629797970407672
"B2M","CD71/TFRC",0.6281915532848243
"B2M","CD9",0.25550984063687654
"B2M","CD90/THY1",0.12043764971962467
"B2M","CDK4",0.4226038104627241
"B2M","CDK6",0.7555521195960804
"B2M","CEBPA",0.055534365096179705
"B2M","CISH",0.06119680854604859
"B2M","CLU",0.3593903896967312
"B2M","CNRIP1",0.3730627547112446
"B2M","CSF3R",0.04418106907528507
"B2M","CTNNB1",0.5623147470264982
"B2M","CXCR4",0.2097572839284476
"B2M","DDB1",0.6458441935705874
"B2M","DHRS3",0.2368321885872966
"B2M","ECT2",0.06805364163340144
"B2M","EIF4EBP1",0.6627870737284649
"B2M","EPOR",0.07915854652688425
"B2M","ETS1",0.35467810519860876
"B2M","FAS",0.14438519379128323
"B2M","FHL1",0.22244530096626036
"B2M","FLI1",0.1809796081059929
"B2M","FOG1/ZFPM1",0.285880187106601
"B2M","FOXO3",0.1637093420499971
"B2M","GABPA",0.39607513528923466
"B2M","GADD45A",0.052992226436538115
"B2M","GADD45B",0.019846772218547137
"B2M","GAPDH",1.061247850461891
"B2M","GATA1",0.42325918252413963
"B2M","GATA2",0.3896298589449314
"B2M","GFI1B",0.42220960068546187
"B2M","GPR64/ADGRG2",0.0
"B2M","HIF1A",0.4553063410106448
"B2M","HIF2A/EPAS1",0.04385883203276286
"B2M","HPRT1",0.5106116973402228
"B2M","JAK2",0.5119368777604238
"B2M","KLF1",0.266211131912895
"B2M","LEF1",0.16604332361859342
"B2M","LOX",0.3028872424094864
"B2M","LSD1/KDM1A",0.9287798977069741
"B2M","MCL1",0.7866752519612481
"B2M","MEIS1",0.3580981086954438
"B2M","MPO",0.02546252296677176
"B2M","MYB",0.43305756977130194
"B2M","NFIB",0.1671781712976248
"B2M","NOTCH1",0.16819156277058145
"B2M","P27KIP1/CDKN1B",0.3503429871822288
"B2M","PAX5",0.0022782505447680457
"B2M","PF4",0.04734518921917141
"B2M","PFKP",0.09754553991469139
"B2M","PIM1",0.19007296735989243
"B2M","PNMT",0.0356648591162374
"B2M","RGS18",0.19707275220251663
"B2M","RUNX1",0.8838342322353663
"B2M","SDPR",0.2844892501819114
"B2M","SELP",0.2833264235236772
"B2M","SH2D2A",0.03568606620238146
"B2M","SOCS3",0.11146167660822837
"B2M","SOX4",0.0
"B2M","SPI1",0.3078790170681227
"B2M","SRD5A3",0.455551106373294
"B2M","TAL1",0.5206482623812398
"B2M","TGFB1",0.7494322566594205
"B2M","TGFB2",0.005649283411739425
"B2M","TMEM180/MFSD13A",0.31831137066789683
"B2M","TMOD1",0.27521291534464076
"B2M","TUBB2A",0.15903165705134015
"B2M","VWF",0.2522112485754864
"BDH1","BIM/BCL2",0.07748207323392498
"BDH1","BMP2",0.008573744249116277
"BDH1","CCDC124",0.09324767610669848
"BDH1","CCND1/BCL1",0.04328571814201965
"BDH1","CD105/ENG",0.1471611110611808
"BDH1","CD110/MPL",0.14083625530427613
"BDH1","CD117/KIT",0.12297509338505197
"BDH1","CD123/IL3RA",0.05043566513922526
"BDH1","CD135/FLT3",0.03914207394424629
"BDH1","CD150/SLAMF1",2.220446049250313e-16
"BDH1","CD235a/GYPA",0.04735631466767343
"BDH1","CD34",0.14016144867254265
"BDH1","CD36",0.11638326331923077
"BDH1","CD38",0.08311764435022617
"BDH1","CD41/ITGA2B",0.17408092473415682
"BDH1","CD42/GP1BA",0.1623187580032459
"BDH1","CD44",0.10040756566202491
"BDH1","CD47",0.0779526353408464
"BDH1","CD61/ITGB3",0.12035555994614144
"BDH1","CD71/TFRC",0.1754339038678827
"BDH1","CD9",0.06586684855190539
"BDH1","CD90/THY1",0.06834088657475679
"BDH1","CDK4",0.15203264274212636
"BDH1","CDK6",0.15569594909356432
"BDH1","CEBPA",0.03129434051063096
"BDH1","CISH",0.034037045598948934
"BDH1","CLU",0.1351523851059233
"BDH1","CNRIP1",0.10065709721011062
"BDH1","CSF3R",0.022467268652677674
"BDH1","CTNNB1",0.18514605289748953
"BDH1","CXCR4",0.0788885684177032
"BDH1","DDB1",0.14761558469453107
"BDH1","DHRS3",0.10007009768803155
"BDH1","ECT2",0.021597131403575442
"BDH1","EIF4EBP1",0.1773739270106951
"BDH1","EPOR",0.033716278504030806
"BDH1","ETS1",0.10358270437716399
"BDH1","FAS",0.07776755202754981
"BDH1","FHL1",0.09348135563800097
"BDH1","FLI1",0.09313870908927813
"BDH1","FOG1/ZFPM1",0.11093051448517377
"BDH1","FOXO3",0.06652436567315112
"BDH1","GABPA",0.12493394414322312
"BDH1","GADD45A",0.05626472326455034
"BDH1","GADD45B",0.0039560799319204865
"BDH1","GAPDH",0.18864389876872778
"BDH1","GATA1",0.15102827033356547
"BDH1","GATA2",0.11712664168733777
"BDH1","GFI1B",0.1419692257590892
"BDH1","GPR64/ADGRG2",2.220446049250313e-16
"BDH1","HIF1A",0.10961336635444008
"BDH1","HIF2A/EPAS1",0.015960831771804962
"BDH1","HPRT1",0.14738615992970017
"BDH1","JAK2",0.12410740230968775
"BDH1","KLF1",0.0858514927393581
"BDH1","LEF1",0.07497891162533632
"BDH1","LOX",0.0961899857516384
"BDH1","LSD1/KDM1A",0.14378396332255816
"BDH1","MCL1",0.16720034262399963
"BDH1","MEIS1",0.09962118859092195
"BDH1","MPO",0.002301867963382165
"BDH1","MYB",0.13847069622653674
"BDH1","NFIB",0.07605068874277654
"BDH1","NOTCH1",0.06392383223021514
"BDH1","P27KIP1/CDKN1B",0.12707665934894807
"BDH1","PAX5",0.006480044535267293
"BDH1","PF4",0.025246134909019835
"BDH1","PFKP",0.051464755215464564
"BDH1","PIM1",0.0682933620493813
"BDH1","PNMT",0.005073528670712424
"BDH1","RGS18",0.08476296726917942
"BDH1","RUNX1",0.16084594924715923
"BDH1","SDPR",0.1066731335821669
"BDH1","SELP",0.0975476064304619
"BDH1","SH2D2A",0.0112426352181616
"BDH1","SOCS3",0.040980449970856814
"BDH1","SOX4",2.220446049250313e-16
"BDH1","SPI1",0.09227629166626583
"BDH1","SRD5A3",0.13418892761661327
"BDH1","TAL1",0.17297612665338935
"BDH1","TGFB1",0.17853792793440526
"BDH1","TGFB2",0.007399758738237061
"BDH1","TMEM180/MFSD13A",0.11235978050364315
"BDH1","TMOD1",0.08192694298676262
"BDH1","TUBB2A",0.09501835206775144
"BDH1","VWF",0.10819386197818792
"BIM/BCL2","BMP2",0.002764295844268405
"BIM/BCL2","CCDC124",0.08618044990473361
"BIM/BCL2","CCND1/BCL1",0.036419271619514415
"BIM/BCL2","CD105/ENG",0.1922192354471468
"BIM/BCL2","CD110/MPL",0.1326077847125342
"BIM/BCL2","CD117/KIT",0.19022817674316173
"BIM/BCL2","CD123/IL3RA",0.06377875013986367
"BIM/BCL2","CD135/FLT3",0.04615620594934233
"BIM/BCL2","CD150/SLAMF1",0.0
"BIM/BCL2","CD235a/GYPA",0.07445458240480951
"BIM/BCL2","CD34",0.10498564424422696
"BIM/BCL2","CD36",0.11392889588407318
"BIM/BCL2","CD38",0.09259389786748962
"BIM/BCL2","CD41/ITGA2B",0.19025513383589399
"BIM/BCL2","CD42/GP1BA",0.16183325069585397
