,gene1,gene2,value,gene_pair
0,CD41/ITGA2B,GATA1,0.848893000446408,CD41/ITGA2B & GATA1
1,RUNX1,TGFB1,0.83022699855436,RUNX1 & TGFB1
2,LSD1/KDM1A,RUNX1,0.821758008067352,LSD1/KDM1A & RUNX1
3,CD41/ITGA2B,TGFB1,0.807979297058849,CD41/ITGA2B & TGFB1
4,ANK1,CD41/ITGA2B,0.786812704045454,ANK1 & CD41/ITGA2B
5,MCL1,RUNX1,0.761457452660288,MCL1 & RUNX1
6,ANK1,GATA1,0.750662834030953,ANK1 & GATA1
7,CD71/TFRC,LSD1/KDM1A,0.74237696989725,CD71/TFRC & LSD1/KDM1A
8,MCL1,TGFB1,0.719826404599739,MCL1 & TGFB1
9,DDB1,LSD1/KDM1A,0.689472010670013,DDB1 & LSD1/KDM1A
10,LSD1/KDM1A,TGFB1,0.688103547222372,LSD1/KDM1A & TGFB1
11,EIF4EBP1,LSD1/KDM1A,0.680206089008523,EIF4EBP1 & LSD1/KDM1A
12,CDK6,LSD1/KDM1A,0.674943102494651,CDK6 & LSD1/KDM1A
13,LSD1/KDM1A,MCL1,0.666587758796081,LSD1/KDM1A & MCL1
14,ANK1,CD71/TFRC,0.648210942210469,ANK1 & CD71/TFRC
15,DDB1,RUNX1,0.638049918373924,DDB1 & RUNX1
16,CD42/GP1BA,TGFB1,0.632164559929881,CD42/GP1BA & TGFB1
17,CD71/TFRC,CNRIP1,0.626684244584489,CD71/TFRC & CNRIP1
18,CD41/ITGA2B,CD61/ITGB3,0.625109126569344,CD41/ITGA2B & CD61/ITGB3
19,CDK6,RUNX1,0.620548000224162,CDK6 & RUNX1
20,ANK1,CNRIP1,0.609669573929666,ANK1 & CNRIP1
21,CD41/ITGA2B,CD71/TFRC,0.608119578794523,CD41/ITGA2B & CD71/TFRC
22,CD71/TFRC,GATA1,0.607609914206818,CD71/TFRC & GATA1
23,CNRIP1,GATA1,0.602492548398182,CNRIP1 & GATA1
24,CDK6,MCL1,0.595358907249775,CDK6 & MCL1
25,CD71/TFRC,TGFB1,0.593516275993528,CD71/TFRC & TGFB1
26,CD117/KIT,LSD1/KDM1A,0.592961195989325,CD117/KIT & LSD1/KDM1A
27,CD41/ITGA2B,TAL1,0.591928053949977,CD41/ITGA2B & TAL1
28,CD71/TFRC,RUNX1,0.587866333731805,CD71/TFRC & RUNX1
29,GATA1,TAL1,0.58314206846444,GATA1 & TAL1
30,CD71/TFRC,TAL1,0.582620247527483,CD71/TFRC & TAL1
31,DDB1,TGFB1,0.581796220944171,DDB1 & TGFB1
32,CD61/ITGB3,TGFB1,0.579576352743689,CD61/ITGB3 & TGFB1
33,EIF4EBP1,RUNX1,0.578014832354325,EIF4EBP1 & RUNX1
34,CD71/TFRC,EIF4EBP1,0.576824141451826,CD71/TFRC & EIF4EBP1
35,CD41/ITGA2B,CNRIP1,0.571047536532322,CD41/ITGA2B & CNRIP1
36,CD42/GP1BA,CD61/ITGB3,0.562492576861609,CD42/GP1BA & CD61/ITGB3
