"Gene_1","Gene_2","MI"
"CD41/ITGA2B","GATA1",0.8488930004464085
"RUNX1","TGFB1",0.83022699855436
"LSD1/KDM1A","RUNX1",0.8217580080673524
"CD41/ITGA2B","TGFB1",0.8079792970588493
"ANK1","CD41/ITGA2B",0.786812704045454
"MCL1","RUNX1",0.7614574526602882
"ANK1","GATA1",0.7506628340309527
"CD71/TFRC","LSD1/KDM1A",0.7423769698972497
"MCL1","TGFB1",0.7198264045997389
"DDB1","LSD1/KDM1A",0.6894720106700125
"LSD1/KDM1A","TGFB1",0.6881035472223724
"EIF4EBP1","LSD1/KDM1A",0.6802060890085225
"CDK6","LSD1/KDM1A",0.6749431024946515
"LSD1/KDM1A","MCL1",0.6665877587960808
"ANK1","CD71/TFRC",0.6482109422104692
"DDB1","RUNX1",0.6380499183739242
"CD42/GP1BA","TGFB1",0.6321645599298813
"CD71/TFRC","CNRIP1",0.6266842445844892
"CD41/ITGA2B","CD61/ITGB3",0.6251091265693436
"CDK6","RUNX1",0.6205480002241623
"ANK1","CNRIP1",0.6096695739296658
"CD41/ITGA2B","CD71/TFRC",0.6081195787945234
"CD71/TFRC","GATA1",0.6076099142068182
"CNRIP1","GATA1",0.6024925483981824
"CDK6","MCL1",0.5953589072497746
"CD71/TFRC","TGFB1",0.5935162759935283
"CD117/KIT","LSD1/KDM1A",0.5929611959893253
"CD41/ITGA2B","TAL1",0.5919280539499767
"CD71/TFRC","RUNX1",0.5878663337318053
"GATA1","TAL1",0.5831420684644404
"CD71/TFRC","TAL1",0.5826202475274834
"DDB1","TGFB1",0.5817962209441712
"CD61/ITGB3","TGFB1",0.5795763527436888
"EIF4EBP1","RUNX1",0.5780148323543248
"CD71/TFRC","EIF4EBP1",0.5768241414518259
"CD41/ITGA2B","CNRIP1",0.5710475365323224
"CD42/GP1BA","CD61/ITGB3",0.5624925768616089
"CD71/TFRC","DDB1",0.562476968135238
"EIF4EBP1","TGFB1",0.5609034901418584
"CTNNB1","RUNX1",0.5503633847210232
"CTNNB1","LSD1/KDM1A",0.5433394825416892
"CDK6","TGFB1",0.5368621521636462
"RUNX1","TAL1",0.5368383842551958
"CD117/KIT","CD71/TFRC",0.5339452385382022
"CD41/ITGA2B","CD42/GP1BA",0.5320175675781036
"CD71/TFRC","MCL1",0.530046663618745
"CTNNB1","TAL1",0.5297457371875126
"CDK6","DDB1",0.5261504859918664
"CDK6","EIF4EBP1",0.5246365184057663
"GATA1","LSD1/KDM1A",0.5241165761043097
"CD61/ITGB3","VWF",0.523139320353782
"CD41/ITGA2B","DHRS3",0.5202502209184208
"GFI1B","RUNX1",0.5192691835902546
"LSD1/KDM1A","TAL1",0.5192457759754914
"CTNNB1","TGFB1",0.5190044485418173
"GATA1","TGFB1",0.5170248801396709
"EIF4EBP1","MCL1",0.5138603744160817
"DDB1","MCL1",0.5117499844028035
"DDB1","EIF4EBP1",0.50953867872678
"CD71/TFRC","CDK6",0.5086910073511498
"HPRT1","LSD1/KDM1A",0.5049984490275131
"ANK1","CD36",0.5024934127935449
"CD41/ITGA2B","LSD1/KDM1A",0.5015000400323473
"ANK1","DHRS3",0.4991105581989904
"CD117/KIT","CDK6",0.4978919943913499
"EIF4EBP1","HPRT1",0.49774636854984555
"GFI1B","TGFB1",0.49564486116391643
"CD41/ITGA2B","RUNX1",0.4951388458186762
"EIF4EBP1","TAL1",0.49392387353513123
"CD71/TFRC","HPRT1",0.49312882091200666
"CD41/ITGA2B","EIF4EBP1",0.48555231185743225
"TAL1","TGFB1",0.48454963707928567
"CD36","CD41/ITGA2B",0.48333686108394924
"MCL1","TAL1",0.4813660237173136
"HIF1A","RUNX1",0.4800299497329481
"JAK2","LSD1/KDM1A",0.47545055159507665
"CTNNB1","MCL1",0.46730073799514127
"CNRIP1","KLF1",0.46612774760592585
"ANK1","TAL1",0.4645094258137135
"CD34","CDK6",0.4632007145444877
"CNRIP1","LSD1/KDM1A",0.46273154824515395
"ANK1","KLF1",0.4618858319508377
"ANK1","LSD1/KDM1A",0.4612062321713513
"GATA1","RUNX1",0.46059733875711
"CD117/KIT","MYB",0.45938697115440624
"CD41/ITGA2B","DDB1",0.45563728039760254
"CD105/ENG","LSD1/KDM1A",0.45318112858638093
"CDK6","HPRT1",0.45262062710616685
"HIF1A","TGFB1",0.4500218100242961
"LSD1/KDM1A","MYB",0.4496356652235498
"JAK2","RUNX1",0.44833997375485946
"DDB1","TAL1",0.44664129051884094
"CNRIP1","TAL1",0.4463522855249344
"CD42/GP1BA","VWF",0.4459645704071367
"CD110/MPL","TGFB1",0.4452766899942687
"CD42/GP1BA","RUNX1",0.4446444392452357
"DHRS3","GATA1",0.44455403825195844
"CD71/TFRC","CTNNB1",0.4433470468642319
"CD117/KIT","CNRIP1",0.43837520923534096
"HIF1A","MCL1",0.43328894531466317
"GATA2","TGFB1",0.4332241793728777
"CD71/TFRC","MYB",0.4327473633304078
