Gene_1,Gene_2,MI
CD41/ITGA2B,GATA1,0.848893000446408
RUNX1,TGFB1,0.83022699855436
LSD1/KDM1A,RUNX1,0.821758008067352
CD41/ITGA2B,TGFB1,0.807979297058849
ANK1,CD41/ITGA2B,0.786812704045454
MCL1,RUNX1,0.761457452660288
ANK1,GATA1,0.750662834030953
CD71/TFRC,LSD1/KDM1A,0.74237696989725
MCL1,TGFB1,0.719826404599739
DDB1,LSD1/KDM1A,0.689472010670013
LSD1/KDM1A,TGFB1,0.688103547222372
EIF4EBP1,LSD1/KDM1A,0.680206089008523
CDK6,LSD1/KDM1A,0.674943102494651
LSD1/KDM1A,MCL1,0.666587758796081
ANK1,CD71/TFRC,0.648210942210469
DDB1,RUNX1,0.638049918373924
CD42/GP1BA,TGFB1,0.632164559929881
CD71/TFRC,CNRIP1,0.626684244584489
CD41/ITGA2B,CD61/ITGB3,0.625109126569344
CDK6,RUNX1,0.620548000224162
ANK1,CNRIP1,0.609669573929666
CD41/ITGA2B,CD71/TFRC,0.608119578794523
CD71/TFRC,GATA1,0.607609914206818
CNRIP1,GATA1,0.602492548398182
CDK6,MCL1,0.595358907249775
CD71/TFRC,TGFB1,0.593516275993528
CD117/KIT,LSD1/KDM1A,0.592961195989325
CD41/ITGA2B,TAL1,0.591928053949977
CD71/TFRC,RUNX1,0.587866333731805
GATA1,TAL1,0.58314206846444
CD71/TFRC,TAL1,0.582620247527483
DDB1,TGFB1,0.581796220944171
CD61/ITGB3,TGFB1,0.579576352743689
EIF4EBP1,RUNX1,0.578014832354325
CD71/TFRC,EIF4EBP1,0.576824141451826
CD41/ITGA2B,CNRIP1,0.571047536532322
CD42/GP1BA,CD61/ITGB3,0.562492576861609
CD71/TFRC,DDB1,0.562476968135238
EIF4EBP1,TGFB1,0.560903490141858
CTNNB1,RUNX1,0.550363384721023
CTNNB1,LSD1/KDM1A,0.543339482541689
CDK6,TGFB1,0.536862152163646
RUNX1,TAL1,0.536838384255196
CD117/KIT,CD71/TFRC,0.533945238538202
CD41/ITGA2B,CD42/GP1BA,0.532017567578104
CD71/TFRC,MCL1,0.530046663618745
CTNNB1,TAL1,0.529745737187513
CDK6,DDB1,0.526150485991866
CDK6,EIF4EBP1,0.524636518405766
GATA1,LSD1/KDM1A,0.52411657610431
CD61/ITGB3,VWF,0.523139320353782
CD41/ITGA2B,DHRS3,0.520250220918421
GFI1B,RUNX1,0.519269183590255
LSD1/KDM1A,TAL1,0.519245775975491
CTNNB1,TGFB1,0.519004448541817
GATA1,TGFB1,0.517024880139671
EIF4EBP1,MCL1,0.513860374416082
DDB1,MCL1,0.511749984402803
DDB1,EIF4EBP1,0.50953867872678
CD71/TFRC,CDK6,0.50869100735115
HPRT1,LSD1/KDM1A,0.504998449027513
ANK1,CD36,0.502493412793545
CD41/ITGA2B,LSD1/KDM1A,0.501500040032347
ANK1,DHRS3,0.49911055819899
CD117/KIT,CDK6,0.49789199439135
EIF4EBP1,HPRT1,0.497746368549846
GFI1B,TGFB1,0.495644861163916
CD41/ITGA2B,RUNX1,0.495138845818676
EIF4EBP1,TAL1,0.493923873535131
CD71/TFRC,HPRT1,0.493128820912007
CD41/ITGA2B,EIF4EBP1,0.485552311857432
TAL1,TGFB1,0.484549637079286
CD36,CD41/ITGA2B,0.483336861083949
MCL1,TAL1,0.481366023717314
HIF1A,RUNX1,0.480029949732948
JAK2,LSD1/KDM1A,0.475450551595077
CTNNB1,MCL1,0.467300737995141
CNRIP1,KLF1,0.466127747605926
ANK1,TAL1,0.464509425813714
CD34,CDK6,0.463200714544488
CNRIP1,LSD1/KDM1A,0.462731548245154
ANK1,KLF1,0.461885831950838
ANK1,LSD1/KDM1A,0.461206232171351
GATA1,RUNX1,0.46059733875711
CD117/KIT,MYB,0.459386971154406
CD41/ITGA2B,DDB1,0.455637280397603
CD105/ENG,LSD1/KDM1A,0.453181128586381
CDK6,HPRT1,0.452620627106167
HIF1A,TGFB1,0.450021810024296
LSD1/KDM1A,MYB,0.44963566522355
JAK2,RUNX1,0.448339973754859
DDB1,TAL1,0.446641290518841
CNRIP1,TAL1,0.446352285524934
CD42/GP1BA,VWF,0.445964570407137
CD110/MPL,TGFB1,0.445276689994269
CD42/GP1BA,RUNX1,0.444644439245236
DHRS3,GATA1,0.444554038251958
CD71/TFRC,CTNNB1,0.443347046864232
CD117/KIT,CNRIP1,0.438375209235341
HIF1A,MCL1,0.433288945314663
GATA2,TGFB1,0.433224179372878
CD71/TFRC,MYB,0.432747363330408
CDK6,TAL1,0.432295528656702
CDK6,MYB,0.431868448092076
HPRT1,MCL1,0.431684493770937
JAK2,MCL1,0.430309953737161
CNRIP1,DHRS3,0.429876394467843
CD34,RUNX1,0.429686417587714
MEIS1,TGFB1,0.429208357844583
GATA2,MCL1,0.428879885512358
EIF4EBP1,GATA1,0.428479318898796
CD117/KIT,RUNX1,0.427668024725455
CD110/MPL,RUNX1,0.425378672026198
CD117/KIT,MCL1,0.424071096118978
CDK6,SRD5A3,0.422086926248518
GATA2,RUNX1,0.421844902591111
GFI1B,LSD1/KDM1A,0.42112483901586
DDB1,GATA1,0.419981153129591
CTNNB1,DDB1,0.41727082739439
CD105/ENG,CD71/TFRC,0.416148081684288
CDK4,EIF4EBP1,0.415127707145802
HPRT1,RUNX1,0.414860137969955
JAK2,TGFB1,0.414831017511107
CD42/GP1BA,MCL1,0.410612698061142
CD36,CD71/TFRC,0.410300541646134
HIF1A,LSD1/KDM1A,0.409646126709525
CD71/TFRC,KLF1,0.40939614390039
GFI1B,MCL1,0.409233495078822
HPRT1,TGFB1,0.40773749500602
CD105/ENG,MCL1,0.406827484222754
CD117/KIT,DDB1,0.406823852549365
CDK6,CTNNB1,0.406754835647827
HPRT1,TAL1,0.406202110737176
TGFB1,VWF,0.404373425518715
CD71/TFRC,GFI1B,0.403532750554935
CD42/GP1BA,TAL1,0.403352476471911
