"Gene_1","Gene_2","MI"
"ANK1","CD123/IL3RA",0.10020247866099607
"ANK1","CD135/FLT3",0.07890516087118327
"ANK1","CD235a/GYPA",0.12352733694871487
"ANK1","CD41/ITGA2B",0.7868127040454524
"ANK1","CD42/GP1BA",0.29074901712374945
"ANK1","CD44",0.33835279663045537
"ANK1","CD61/ITGB3",0.3076447389431438
"ANK1","CD71/TFRC",0.6482109422104685
"ANK1","CLU",0.157110740894562
"ANK1","CNRIP1",0.6096695739296658
"ANK1","CSF3R",0.06095090986482754
"ANK1","FLI1",0.14013020581022495
"ANK1","GATA1",0.7506628340309538
"ANK1","GATA2",0.22326771442278304
"ANK1","KLF1",0.46188583195083854
"ANK1","LEF1",0.3380483378753385
"ANK1","LOX",0.17590636526212755
"ANK1","MYB",0.32515080075894076
"ANK1","NFIB",0.14299453124315642
"ANK1","SOCS3",0.0911415035117713
"ANK1","TGFB1",0.38913240260003157
"ANK1","TGFB2",0.004576642543312914
"ANK1","TMOD1",0.3173978131122204
"ANK1","VWF",0.20643933184375918
"CD123/IL3RA","CD135/FLT3",0.06953377089063517
"CD123/IL3RA","CD235a/GYPA",0.022057621701088825
"CD123/IL3RA","CD41/ITGA2B",0.13597333331468375
"CD123/IL3RA","CD42/GP1BA",0.13045464641280446
"CD123/IL3RA","CD44",0.1093792800764688
"CD123/IL3RA","CD61/ITGB3",0.06722962290391132
"CD123/IL3RA","CD71/TFRC",0.13019765548038187
"CD123/IL3RA","CLU",0.09687830289052757
"CD123/IL3RA","CNRIP1",0.08924628052385586
"CD123/IL3RA","CSF3R",0.046240960503979744
"CD123/IL3RA","FLI1",0.05583759805246036
"CD123/IL3RA","GATA1",0.089395324941417
"CD123/IL3RA","GATA2",0.08746096292335093
"CD123/IL3RA","KLF1",0.06348901139453877
"CD123/IL3RA","LEF1",0.04689335143096107
"CD123/IL3RA","LOX",0.07665884043605153
"CD123/IL3RA","MYB",0.11496146978084187
"CD123/IL3RA","NFIB",0.046483085614184905
"CD123/IL3RA","SOCS3",0.05694709217579086
"CD123/IL3RA","TGFB1",0.12202643270433988
"CD123/IL3RA","TGFB2",0.009830694309595156
"CD123/IL3RA","TMOD1",0.0595934527461357
"CD123/IL3RA","VWF",0.07057669644704356
"CD135/FLT3","CD235a/GYPA",0.01680089024833098
"CD135/FLT3","CD41/ITGA2B",0.12128094439866066
"CD135/FLT3","CD42/GP1BA",0.10508122599270564
"CD135/FLT3","CD44",0.10890293925287686
"CD135/FLT3","CD61/ITGB3",0.049713382790261385
"CD135/FLT3","CD71/TFRC",0.0991211283371829
"CD135/FLT3","CLU",0.07140683033943196
"CD135/FLT3","CNRIP1",0.07351230634497785
"CD135/FLT3","CSF3R",0.03864543230959816
"CD135/FLT3","FLI1",0.06015356949031081
"CD135/FLT3","GATA1",0.10304049989509334
"CD135/FLT3","GATA2",0.07634298040470666
"CD135/FLT3","KLF1",0.03902958408690971
"CD135/FLT3","LEF1",0.0306610717948419
"CD135/FLT3","LOX",0.06262047571761498
"CD135/FLT3","MYB",0.08092249482730551
"CD135/FLT3","NFIB",0.026670338049611608
"CD135/FLT3","SOCS3",0.04058695783261368
"CD135/FLT3","TGFB1",0.09433647593935035
"CD135/FLT3","TGFB2",0.0006055394543094117
"CD135/FLT3","TMOD1",0.04013206737876329
"CD135/FLT3","VWF",0.05482916104561131
"CD235a/GYPA","CD41/ITGA2B",0.16195938702763168
"CD235a/GYPA","CD42/GP1BA",0.1548635403088534
"CD235a/GYPA","CD44",0.1007846692029779
"CD235a/GYPA","CD61/ITGB3",0.11790104256809686
"CD235a/GYPA","CD71/TFRC",0.1239815487861673
"CD235a/GYPA","CLU",0.10825134165458605
"CD235a/GYPA","CNRIP1",0.13907422031464467
"CD235a/GYPA","CSF3R",0.022384574799854784
"CD235a/GYPA","FLI1",0.030411679343566256
"CD235a/GYPA","GATA1",0.14248828039658834
"CD235a/GYPA","GATA2",0.11790347486804942
"CD235a/GYPA","KLF1",0.10686721622948836
"CD235a/GYPA","LEF1",0.07347771541626225
"CD235a/GYPA","LOX",0.1031242201906557
"CD235a/GYPA","MYB",0.12802320447063043
"CD235a/GYPA","NFIB",0.05748814165040805
"CD235a/GYPA","SOCS3",0.029246262760636466
"CD235a/GYPA","TGFB1",0.13753871534075035
"CD235a/GYPA","TGFB2",0.0058269352437189115
"CD235a/GYPA","TMOD1",0.06573368216695297
"CD235a/GYPA","VWF",0.08381906526283478
"CD41/ITGA2B","CD42/GP1BA",0.5320175675781025
"CD41/ITGA2B","CD44",0.3571767517482476
"CD41/ITGA2B","CD61/ITGB3",0.6251091265693427
"CD41/ITGA2B","CD71/TFRC",0.6081195787945228
"CD41/ITGA2B","CLU",0.25417824348018137
"CD41/ITGA2B","CNRIP1",0.5710475365323218
"CD41/ITGA2B","CSF3R",0.08415086238141001
"CD41/ITGA2B","FLI1",0.20108287533528912
"CD41/ITGA2B","GATA1",0.8488930004464077
"CD41/ITGA2B","GATA2",0.3537595652532737
"CD41/ITGA2B","KLF1",0.4026492205129584
"CD41/ITGA2B","LEF1",0.2937666830862735
"CD41/ITGA2B","LOX",0.25822865093688385
"CD41/ITGA2B","MYB",0.2960120620133688
"CD41/ITGA2B","NFIB",0.2847781145688
"CD41/ITGA2B","SOCS3",0.1321544178991383
"CD41/ITGA2B","TGFB1",0.8079792970588491
"CD41/ITGA2B","TGFB2",0.010595188581434822
"CD41/ITGA2B","TMOD1",0.24903633878203735
"CD41/ITGA2B","VWF",0.39240297600262064
"CD42/GP1BA","CD44",0.28357865673166227
"CD42/GP1BA","CD61/ITGB3",0.5624925768616107
"CD42/GP1BA","CD71/TFRC",0.39963649482599983
"CD42/GP1BA","CLU",0.32468283227929806
"CD42/GP1BA","CNRIP1",0.2682766173797919
"CD42/GP1BA","CSF3R",0.06837572961195981
"CD42/GP1BA","FLI1",0.18043979790713838
"CD42/GP1BA","GATA1",0.31972842396567547
"CD42/GP1BA","GATA2",0.3463348797631447
"CD42/GP1BA","KLF1",0.17767660372467375
"CD42/GP1BA","LEF1",0.15414931358045436
"CD42/GP1BA","LOX",0.31216115662432387
"CD42/GP1BA","MYB",0.28476826225408036
"CD42/GP1BA","NFIB",0.3132879114515914
"CD42/GP1BA","SOCS3",0.15058533521657402
"CD42/GP1BA","TGFB1",0.6321645599298833
"CD42/GP1BA","TGFB2",0.009644573052896455
"CD42/GP1BA","TMOD1",0.20375610707333802
"CD42/GP1BA","VWF",0.4459645704071402
"CD44","CD61/ITGB3",0.2813917180954837
"CD44","CD71/TFRC",0.30333172437894085
"CD44","CLU",0.21685903776913662
"CD44","CNRIP1",0.3324809633480852
"CD44","CSF3R",0.07022739398621525
"CD44","FLI1",0.12588849995526052
"CD44","GATA1",0.3492230219562069
"CD44","GATA2",0.26765245289344897
"CD44","KLF1",0.19652751836540183
"CD44","LEF1",0.14212034821925812
"CD44","LOX",0.20106228172500007
"CD44","MYB",0.2506464615405095
"CD44","NFIB",0.1486365989844689
"CD44","SOCS3",0.08524689839718702
"CD44","TGFB1",0.37834502702249395
"CD44","TGFB2",0.007159669046456152
"CD44","TMOD1",0.15824225914758383
"CD44","VWF",0.19131347085808592
"CD61/ITGB3","CD71/TFRC",0.23858954318262882
"CD61/ITGB3","CLU",0.24499330872973957
"CD61/ITGB3","CNRIP1",0.22163300294037214
"CD61/ITGB3","CSF3R",0.03190953359607018
"CD61/ITGB3","FLI1",0.18969274750910436
"CD61/ITGB3","GATA1",0.3412791871044396
"CD61/ITGB3","GATA2",0.21662926799867943
"CD61/ITGB3","KLF1",0.12855864892397761
"CD61/ITGB3","LEF1",0.1077528523320721
"CD61/ITGB3","LOX",0.274410655608492
"CD61/ITGB3","MYB",0.19705564911560103
"CD61/ITGB3","NFIB",0.36741445637955916
"CD61/ITGB3","SOCS3",0.07205149815597878
"CD61/ITGB3","TGFB1",0.5795763527436888
"CD61/ITGB3","TGFB2",0.011007064900912633
"CD61/ITGB3","TMOD1",0.12659462940861266
"CD61/ITGB3","VWF",0.5231393203537813
"CD71/TFRC","CLU",0.2500945908082439
"CD71/TFRC","CNRIP1",0.6266842445844896
"CD71/TFRC","CSF3R",0.08235398607960409
"CD71/TFRC","FLI1",0.17532142671845286
"CD71/TFRC","GATA1",0.6076099142068196
"CD71/TFRC","GATA2",0.40124206144129193
"CD71/TFRC","KLF1",0.40939614390039303
"CD71/TFRC","LEF1",0.3149459990649097
"CD71/TFRC","LOX",0.29742466714816906
"CD71/TFRC","MYB",0.4327473633304093
"CD71/TFRC","NFIB",0.15763536375852105
"CD71/TFRC","SOCS3",0.11151428748807124
"CD71/TFRC","TGFB1",0.5935162759935295
"CD71/TFRC","TGFB2",0.009453350570273411
"CD71/TFRC","TMOD1",0.3263221379038388
"CD71/TFRC","VWF",0.2450350284332803
"CLU","CNRIP1",0.16555055037737976
"CLU","CSF3R",0.06864935197782973
"CLU","FLI1",0.2024560007593701
"CLU","GATA1",0.16443197586401137
"CLU","GATA2",0.2362951902422159
"CLU","KLF1",0.09421987130512921
"CLU","LEF1",0.10473574895097926
"CLU","LOX",0.22824444524335696
"CLU","MYB",0.27156636435472326
"CLU","NFIB",0.22736363355188471
"CLU","SOCS3",0.10361524627862417
"CLU","TGFB1",0.3482346167379724
"CLU","TGFB2",0.007941262728234033
"CLU","TMOD1",0.13565463487998208
"CLU","VWF",0.2589976022299538
"CNRIP1","CSF3R",0.058117341788402666
"CNRIP1","FLI1",0.10374857359231848
"CNRIP1","GATA1",0.6024925483981809
"CNRIP1","GATA2",0.24408342688720364
"CNRIP1","KLF1",0.46612774760592535
"CNRIP1","LEF1",0.42465125895780353
"CNRIP1","LOX",0.1543160656375635
"CNRIP1","MYB",0.3963563600762692
