sample_id,cell_type
A1P1MEP-A1_a1p1,MEP
A1P1MEP-A10_a1p1,MEP
A1P1MEP-A11_a1p1,MEP
A1P1MEP-A12_a1p1,MEP
A1P1MEP-A2_a1p1,MEP
A1P1MEP-A3_a1p1,MEP
A1P1MEP-A4_a1p1,MEP
A1P1MEP-A5_a1p1,MEP
A1P1MEP-A9_a1p1,MEP
A1P1MEP-B1_a1p1,MEP
A1P1MEP-B10_a1p1,MEP
A1P1MEP-B11_a1p1,MEP
A1P1MEP-B12_a1p1,MEP
A1P1MEP-B2_a1p1,MEP
A1P1MEP-B3_a1p1,MEP
A1P1MEP-B4_a1p1,MEP
A1P1MEP-B5_a1p1,MEP
A1P1MEP-B6_a1p1,MEP
A1P1MEP-B7_a1p1,MEP
A1P1MEP-B8_a1p1,MEP
A1P1MEP-B9_a1p1,MEP
A1P1MEP-C1_a1p1,MEP
A1P1MEP-C10_a1p1,MEP
A1P1MEP-C11_a1p1,MEP
A1P1MEP-C12_a1p1,MEP
A1P1MEP-C2_a1p1,MEP
A1P1MEP-C3_a1p1,MEP
A1P1MEP-C4_a1p1,MEP
A1P1MEP-C5_a1p1,MEP
A1P1MEP-C6_a1p1,MEP
A1P1MEP-C7_a1p1,MEP
A1P1MEP-C8_a1p1,MEP
A1P1MEP-C9_a1p1,MEP
A1P1MEP-D1_a1p1,MEP
A1P1MEP-D10_a1p1,MEP
A1P1MEP-D11_a1p1,MEP
A1P1MEP-D12_a1p1,MEP
A1P1MEP-D2_a1p1,MEP
A1P1MEP-D3_a1p1,MEP
A1P1MEP-D4_a1p1,MEP
A1P1MEP-D5_a1p1,MEP
A1P1MEP-D6_a1p1,MEP
A1P1MEP-D7_a1p1,MEP
A1P1MEP-D8_a1p1,MEP
A1P1MEP-D9_a1p1,MEP
A1P1MEP-E1_a1p1,MEP
A1P1MEP-E10_a1p1,MEP
A1P1MEP-E11_a1p1,MEP
A1P1MEP-E12_a1p1,MEP
A1P1MEP-E2_a1p1,MEP
A1P1MEP-E3_a1p1,MEP
A1P1MEP-E4_a1p1,MEP
A1P1MEP-E5_a1p1,MEP
A1P1MEP-E6_a1p1,MEP
A1P1MEP-E7_a1p1,MEP
A1P1MEP-E8_a1p1,MEP
A1P1MEP-E9_a1p1,MEP
A1P1MEP-F1_a1p1,MEP
A1P1MEP-F10_a1p1,MEP
A1P1MEP-F11_a1p1,MEP
A1P1MEP-F12_a1p1,MEP
A1P1MEP-F2_a1p1,MEP
A1P1MEP-F3_a1p1,MEP
A1P1MEP-F4_a1p1,MEP
A1P1MEP-F5_a1p1,MEP
A1P1MEP-F6_a1p1,MEP
A1P1MEP-F7_a1p1,MEP
A1P1MEP-F8_a1p1,MEP
A1P1MEP-F9_a1p1,MEP
A1P1MEP-G1_a1p1,MEP
A1P1MEP-G10_a1p1,MEP
A1P1MEP-G11_a1p1,MEP
A1P1MEP-G12_a1p1,MEP
A1P1MEP-G2_a1p1,MEP
A1P1MEP-G3_a1p1,MEP
A1P1MEP-G4_a1p1,MEP
A1P1MEP-G5_a1p1,MEP
A1P1MEP-G6_a1p1,MEP
A1P1MEP-G7_a1p1,MEP
A1P1MEP-G8_a1p1,MEP
A1P1MEP-G9_a1p1,MEP
A1P1MEP-H1_a1p1,MEP
A1P1MEP-H10_a1p1,MEP
A1P1MEP-H11_a1p1,MEP
A1P1MEP-H12_a1p1,MEP
A1P1MEP-H2_a1p1,MEP
A1P1MEP-H3_a1p1,MEP
A1P1MEP-H4_a1p1,MEP
A1P1MEP-H5_a1p1,MEP
A1P1MEP-H6_a1p1,MEP
A1P1MEP-H7_a1p1,MEP
A1P1MEP-H8_a1p1,MEP
A1P1MEP-H9_a1p1,MEP
A2P1MEP-A1_a2p1,MEP
A2P1MEP-A10_a2p1,MEP
A2P1MEP-A11_a2p1,MEP
A2P1MEP-A12_a2p1,MEP
A2P1MEP-A2_a2p1,MEP
A2P1MEP-A3_a2p1,MEP
A2P1MEP-A4_a2p1,MEP
A2P1MEP-A5_a2p1,MEP
A2P1MEP-A6_a2p1,MEP
A2P1MEP-A7_a2p1,MEP
A2P1MEP-A8_a2p1,MEP
A2P1MEP-A9_a2p1,MEP
A2P1MEP-B1_a2p1,MEP
A2P1MEP-B10_a2p1,MEP
A2P1MEP-B11_a2p1,MEP
A2P1MEP-B12_a2p1,MEP
A2P1MEP-B2_a2p1,MEP
A2P1MEP-B3_a2p1,MEP
A2P1MEP-B4_a2p1,MEP
A2P1MEP-B5_a2p1,MEP
A2P1MEP-B6_a2p1,MEP
A2P1MEP-B7_a2p1,MEP
A2P1MEP-B8_a2p1,MEP
A2P1MEP-B9_a2p1,MEP
A2P1MEP-C1_a2p1,MEP
A2P1MEP-C10_a2p1,MEP
A2P1MEP-C11_a2p1,MEP
A2P1MEP-C12_a2p1,MEP
A2P1MEP-C2_a2p1,MEP
A2P1MEP-C3_a2p1,MEP
A2P1MEP-C4_a2p1,MEP
A2P1MEP-C5_a2p1,MEP
A2P1MEP-C6_a2p1,MEP
A2P1MEP-C7_a2p1,MEP
A2P1MEP-C8_a2p1,MEP
A2P1MEP-C9_a2p1,MEP
A2P1MEP-D1_a2p1,MEP
A2P1MEP-D10_a2p1,MEP
A2P1MEP-D11_a2p1,MEP
A2P1MEP-D2_a2p1,MEP
A2P1MEP-D3_a2p1,MEP
A2P1MEP-D4_a2p1,MEP
A2P1MEP-D5_a2p1,MEP
A2P1MEP-D6_a2p1,MEP
A2P1MEP-D7_a2p1,MEP
A2P1MEP-D8_a2p1,MEP
A2P1MEP-D9_a2p1,MEP
