cell_type,Gene ID,ANK1,BIM/BCL2,CCDC124,CD105/ENG,CD110/MPL,CD117/KIT,CD34,CD36,CD38,CD41/ITGA2B,CD42/GP1BA,CD44,CD47,CD61/ITGB3,CD71/TFRC,CD9,CDK4,CDK6,CLU,CNRIP1,CTNNB1,CXCR4,DDB1,DHRS3,EIF4EBP1,ETS1,FHL1,FOG1/ZFPM1,FOXO3,GABPA,GATA1,GATA2,GFI1B,HIF1A,HPRT1,JAK2,KLF1,LOX,LSD1/KDM1A,MCL1,MEIS1,MYB,P27KIP1/CDKN1B,PIM1,RGS18,RUNX1,SDPR,SELP,SPI1,SRD5A3,TAL1,TGFB1,TMEM180/MFSD13A,TMOD1,TUBB2A,VWF,pc1,pc2
MEP,A1P1MEP-A1_a1p1,0,0,0,0,22.71506364,20.5570567,20.54399367,0,22.80055667,0,0,16.9338307,0,0,20.06924757,22.2665784,24.21212015,20.47140874,21.45466824,0,21.32706486,0,0,0,19.27818666,20.81712995,0,0,0,22.94305243,20.98293657,20.16852026,0,19.7983994,22.37944328,0,0,0,20.03335952,21.6660522,0,18.51161655,0,0,0,20.09097887,0,19.9679916,22.2134697,23.13755232,0,17.21810775,0,0,0,0,-1.78198499855482,-5.21168109707063
MEP,A1P1MEP-A10_a1p1,0,24.37478609,20.28240509,20.63015589,20.51099224,0,19.78558465,0,0,14.9286176,15.65518996,0,0,15.01655488,18.72593553,0,19.77711906,21.12091368,15.99665079,0,18.08822101,19.91218993,21.24903929,0,16.41673603,0,22.2334323,22.49240017,0,20.73953547,17.5096548,0,17.86855193,17.48934029,18.78729625,20.84748218,21.81166702,22.15386064,17.92842425,19.11231324,20.46069225,19.13243026,22.28619814,23.8914768,16.20034478,17.87858301,0,0,0,23.21957503,20.42830673,14.04451984,20.86550018,0,0,16.59271988,2.21025630988504,-3.9074423746518
MEP,A1P1MEP-A11_a1p1,0,0,0,0,0,25.9670656,26.19516985,0,0,0,0,24.99252515,0,0,26.32124174,0,0,25.98154311,24.33963859,0,25.2607686,0,0,0,0,24.46059418,0,0,0,0,0,0,0,0,0,0,0,26.23260605,26.98624765,25.27795761,0,25.77457895,0,0,0,0,0,31.37539152,0,0,0,23.4855091,0,0,0,0,-3.89919095602166,-3.02916001278816
MEP,A1P1MEP-A12_a1p1,0,0,0,0,0,0,24.56829895,0,0,0,25.59038854,25.11222716,0,0,0,0,0,27.00412211,0,0,0,0,26.89962522,0,0,0,0,0,0,0,0,0,27.03343373,24.73146285,0,25.86785069,0,0,26.79796884,0,0,0,0,0,0,26.69178081,0,0,0,0,0,32.75653317,0,0,0,0,-2.35584872101977,-2.51685603579395
MEP,A1P1MEP-A2_a1p1,0,0,0,17.03543637,0,0,15.95959001,0,0,0,18.68424657,13.39101273,0,0,18.00815872,0,17.91544609,16.25705434,18.62215928,0,15.67562716,0,17.45773606,0,17.21838461,14.87018354,16.85614575,0,19.17680546,18.43849415,0,17.79152135,15.68515429,0,18.88937619,18.55506659,0,0,16.28452553,17.44673305,17.99442334,14.95359949,17.36335532,0,0,15.83819263,17.81012795,0,0,0,17.8314097,13.39198009,0,0,18.50502147,0,-1.6561663612626,-2.5635346327029
MEP,A1P1MEP-A3_a1p1,0,0,0,0,19.68597489,17.05208713,16.19962017,0,0,0,19.03551785,14.88754448,17.86784951,0,17.05909602,0,0,15.18823626,16.69073581,0,17.34555654,18.61563953,18.82856172,0,0,16.40326724,17.4112152,17.09495946,19.30396394,18.13296695,0,18.2790868,0,15.39557253,17.74400125,18.7788752,0,0,16.97418541,15.44880851,18.62654405,14.85077138,21.20451579,0,15.28123806,17.36477973,17.83070421,15.58000039,0,17.75281876,0,14.28624259,17.66765241,0,0,16.45014525,-2.21195955059414,-2.74193671303929
MEP,A1P1MEP-A4_a1p1,0,0,0,18.25934126,0,16.94739392,15.56896243,0,20.10805618,0,17.89607561,13.36170389,0,0,0,16.2589415,18.26918523,15.56809316,20.01013126,0,18.22792492,15.83810748,19.96705124,0,17.54165597,13.50733409,15.65793119,0,19.8437093,18.08069752,0,16.22365742,16.99555991,14.51021623,18.08958503,18.34713972,0,16.13955784,15.99124665,17.31702915,0,14.12735287,17.14889273,0,0,15.03096749,0,16.47876344,0,17.9858569,16.75312713,14.11695999,0,0,0,17.87270697,-2.35339706035322,-3.11113101619071
MEP,A1P1MEP-A5_a1p1,0,0,0,16.06918277,0,17.07985598,17.97936017,0,0,19.55062474,18.00846369,14.67462403,0,0,0,18.96508998,0,16.039362,19.23413777,0,16.9744001,21.02715154,0,0,0,0,18.69734352,0,0,20.17589711,0,16.70834394,15.44920534,17.32395502,19.95153606,0,0,0,17.06831923,17.48793605,17.94099268,16.39259267,21.38087887,21.65100795,0,16.12746464,18.61784941,0,19.64741053,0,18.40182051,15.64805716,0,0,0,0,-2.20207004064543,-2.50732532124246
MEP,A1P1MEP-A9_a1p1,16.7132491,0,16.61784843,17.60205158,18.51816777,18.13374516,14.17478967,0,19.61372304,14.54623013,15.07874387,17.04941519,0,14.62178248,13.49507927,0,17.97339273,14.18979389,16.73125536,15.79183526,16.24873328,17.52568911,16.93238935,0,14.38917089,14.45626437,17.45887615,16.86958991,0,0,15.21758629,14.20416832,17.76401209,14.20659317,15.28757393,19.59292981,0,17.49792138,14.85724911,18.02338367,0,15.20661016,18.17388296,17.61489063,14.0670144,14.4161628,16.62493971,0,14.26943182,16.26863868,14.17766538,12.25787821,17.31661438,0,21.72085831,0,2.17313245390301,-2.3575748385213
MEP,A1P1MEP-B1_a1p1,0,21.16359397,0,0,0,16.93660718,17.99195808,0,0,0,0,15.86388224,0,0,0,0,18.36085286,15.77141378,0,0,0,0,0,0,16.59100596,0,15.62758292,0,19.43562143,18.03711989,0,0,0,0,0,25.89950589,0,16.12933951,16.45712378,18.23381954,0,14.99777258,17.88605513,0,0,16.63828087,0,18.05002284,15.94717559,0,18.12619946,0,0,0,0,0,-2.53250424701858,1.13083072889812
